account_id,customer_id,open_date,open_time,balance
accoun_2d021b642f,custom_ce97fcab31,2026-05-22,2026-02-17 09:18:16,0
accoun_3721562633,custom_ea5769fae8,2026-05-22,2026-02-17 09:18:11,0
accoun_9c8b3da9e8,custom_ce97fcab31,2026-05-22,2026-02-17 09:25:52,0
accoun_5df58fdbf8,custom_027f71f9e8,2026-05-22,2026-02-17 09:58:10,0
accoun_4b32c39f17,custom_3f87b0d008,2026-05-22,2026-02-17 09:09:13,0
accoun_8080bb22da,custom_1f01348646,2026-05-22,2026-02-17 09:22:47,0
accoun_b86cb701d0,custom_3f87b0d008,2026-05-22,2026-02-17 09:00:06,0
accoun_1447427a59,custom_37960f75ec,2026-05-22,2026-02-17 09:59:58,0
accoun_25b2dfffed,custom_37960f75ec,2026-05-22,2026-02-17 09:00:27,0
accoun_564b884fa2,custom_c6f67711f3,2026-05-22,2026-02-17 09:06:57,0
accoun_1e3fac6e00,custom_37960f75ec,2026-05-22,2026-02-17 09:45:32,0
accoun_aaee15551c,custom_e111120366,2026-05-22,2026-02-17 09:53:56,0
accoun_9b25b02e93,custom_49b1e9fc64,2026-05-22,2026-02-17 09:29:23,0
accoun_b5a7ac90c0,custom_dadd18d50e,2026-05-22,2026-02-17 09:32:02,0
accoun_f701f92d0c,custom_49b1e9fc64,2026-05-22,2026-02-17 09:23:26,0
accoun_27b91eb1c4,custom_5ee8b9a2c8,2026-05-22,2026-02-17 09:56:03,0
accoun_b108d13872,custom_305ac398e7,2026-05-22,2026-02-17 09:27:11,0
accoun_4dd466383b,custom_1f01348646,2026-05-22,2026-02-17 09:43:34,0
accoun_2f93020959,custom_a30c666b99,2026-05-22,2026-02-17 09:45:38,0
accoun_ffab3543c2,custom_aea3873865,2026-05-22,2026-02-17 09:34:49,0
