log_id,customer_id,login_timestamp,device
logid_977d388e32,CUST002,2026-01-30 20:33:32,ATM
logid_d2507c9518,CUST002,2026-02-02 02:44:10,Mobile
logid_90867bf4ae,CUST001,2026-02-02 04:46:03,ATM
logid_95fd4be0a2,CUST004,2026-01-31 20:39:03,Web
logid_286edf3d89,CUST002,2026-02-01 13:53:37,Web
logid_6cd18482c3,CUST004,2026-01-30 20:01:53,Mobile
logid_14cde59583,CUST005,2026-01-30 15:33:04,ATM
logid_246eec9af7,CUST001,2026-02-01 10:03:40,Mobile
logid_b7c50f5ea3,CUST005,2026-01-30 22:37:04,Web
logid_24dc6faca5,CUST001,2026-02-02 02:20:06,Mobile
logid_ae46fae7a5,CUST004,2026-02-01 15:42:58,Mobile
logid_b8f76cce80,CUST003,2026-01-31 07:51:44,ATM
logid_5ffe45adc6,CUST004,2026-01-30 10:36:41,Web
logid_822f21e59b,CUST001,2026-01-29 13:27:40,ATM
logid_0f0cab618d,CUST003,2026-01-31 17:38:14,ATM
logid_02696a2a86,CUST005,2026-01-29 10:22:22,Web
logid_d8af9986b2,CUST005,2026-01-29 05:37:33,ATM
logid_31d1ffd056,CUST003,2026-01-29 23:07:14,ATM
logid_0cf9747d51,CUST003,2026-01-29 03:53:23,Web
logid_00070a4343,CUST005,2026-01-30 01:47:27,Mobile
