transaction_id,account_id,transaction_type,amount,transaction_date,transaction_time
transa_5bd1ae90a8,accoun_1e3fac6e00,DEBIT,5261,2026-05-22,2026-02-17 09:38:29
transa_114c27956f,accoun_b108d13872,CREDIT,9832,2026-05-22,2026-02-17 11:02:38
transa_9a597b165c,accoun_b108d13872,CREDIT,8210,2026-05-22,2026-02-17 09:24:22
transa_0070e00f63,accoun_b86cb701d0,DEBIT,6625,2026-05-22,2026-02-17 11:21:07
transa_03628bf40b,accoun_9c8b3da9e8,REFUND,4597,2026-05-22,2026-02-17 10:00:44
transa_087694c96b,accoun_1e3fac6e00,REFUND,6404,2026-05-22,2026-02-17 10:27:53
transa_3741940b44,accoun_4dd466383b,CREDIT,8439,2026-05-22,2026-02-17 13:39:18
transa_c0108612c2,accoun_27b91eb1c4,REFUND,5263,2026-05-22,2026-02-17 09:30:24
transa_a9ce795970,accoun_25b2dfffed,REFUND,8822,2026-05-22,2026-02-17 14:30:38
transa_afe9769633,accoun_27b91eb1c4,DEBIT,5242,2026-05-22,2026-02-17 11:17:24
transa_80da5f261f,accoun_b108d13872,CREDIT,6995,2026-05-22,2026-02-17 09:18:15
transa_ee2a7ae5c9,accoun_ffab3543c2,REFUND,9949,2026-05-22,2026-02-17 13:45:02
transa_c602adcaf1,accoun_1e3fac6e00,REFUND,6789,2026-05-22,2026-02-17 10:21:48
transa_964cf10c49,accoun_3721562633,DEBIT,9058,2026-05-22,2026-02-17 13:26:38
transa_fcd383f5a3,accoun_aaee15551c,REFUND,9010,2026-05-22,2026-02-17 13:04:47
transa_0b2f7501a3,accoun_1e3fac6e00,DEBIT,3774,2026-05-22,2026-02-17 13:20:14
transa_a7d66dea03,accoun_1e3fac6e00,CREDIT,8721,2026-05-22,2026-02-17 10:53:40
transa_d56aa75664,accoun_9b25b02e93,CREDIT,8894,2026-05-22,2026-02-17 13:01:29
transa_41cad862d2,accoun_9b25b02e93,REFUND,4174,2026-05-22,2026-02-17 10:50:30
transa_d5a5d179e0,accoun_4dd466383b,DEBIT,5018,2026-05-22,2026-02-17 09:52:46
