invoice_id,client_id,account_id,invoice_type,invoice_number,subtotal,discount,tax_rate,tax_amount,total_amount,currency,invoice_status,invoice_date,due_date,paid_at,created_at,updated_at
INV000001,CLI00001,ACC000001,Advisory Fee,INV-2026-00001,102288.66,2124.58,0%,0.0,100164.08,INR,Partially Paid,2025-05-08 11:54:43,2025-06-07,,2025-06-11 11:54:43,2026-01-27 11:54:43
INV000002,CLI00002,ACC000002,Management Fee,INV-2026-00002,125946.65,11407.82,18%,20616.99,135155.82,USD,Overdue,2025-06-30 11:54:43,2025-07-30,,2025-11-26 11:54:43,2026-02-04 11:54:43
INV000003,CLI00003,ACC000003,Brokerage Invoice,INV-2026-00003,177839.31,5987.37,5%,8592.6,180444.54,EUR,Paid,2025-11-02 11:54:43,2025-12-02,2026-02-04 11:54:43,2025-09-22 11:54:43,2026-01-24 11:54:43
INV000004,CLI00004,ACC000004,Subscription,INV-2026-00004,25382.08,374.99,18%,4501.28,29508.37,GBP,Draft,2025-07-19 11:54:43,2025-08-18,,2025-06-26 11:54:43,2026-01-23 11:54:43
INV000005,CLI00005,ACC000005,Consulting,INV-2026-00005,193207.22,4336.21,18%,33996.78,222867.79,SGD,Partially Paid,2025-10-30 11:54:43,2025-11-29,,2025-04-15 11:54:43,2026-01-24 11:54:43
INV000006,CLI00006,ACC000006,Audit Fee,INV-2026-00006,165993.23,9992.33,0%,0.0,156000.9,AED,Cancelled,2025-07-28 11:54:43,2025-08-27,,2025-03-06 11:54:43,2026-02-13 11:54:43
INV000007,CLI00007,ACC000007,Tax Filing,INV-2026-00007,131914.97,737.89,0%,0.0,131177.08,JPY,Sent,2025-03-30 11:54:43,2025-04-29,,2025-05-26 11:54:43,2026-02-07 11:54:43
INV000008,CLI00008,ACC000008,Custody Fee,INV-2026-00008,47801.35,645.04,5%,2357.82,49514.13,CHF,Draft,2025-02-18 11:54:43,2025-03-20,,2026-01-14 11:54:43,2026-01-22 11:54:43
INV000009,CLI00009,ACC000009,Platform Fee,INV-2026-00009,131069.85,4190.93,18%,22838.21,149717.13,CAD,Paid,2025-09-04 11:54:43,2025-10-04,2026-02-06 11:54:43,2025-03-12 11:54:43,2026-02-13 11:54:43
INV000010,CLI00010,ACC000010,Performance Fee,INV-2026-00010,37616.65,3126.7,18%,6208.19,40698.14,AUD,Paid,2025-09-22 11:54:43,2025-10-22,2026-01-24 11:54:43,2025-04-24 11:54:43,2026-01-24 11:54:43
INV000011,CLI00011,ACC000011,Advisory Fee,INV-2026-00011,34701.88,865.21,28%,9474.27,43310.94,INR,Sent,2025-09-13 11:54:43,2025-10-13,,2025-11-09 11:54:43,2026-01-27 11:54:43
INV000012,CLI00012,ACC000012,Management Fee,INV-2026-00012,12196.33,194.3,18%,2160.37,14162.4,USD,Disputed,2025-02-13 11:54:43,2025-03-15,,2025-02-17 11:54:43,2026-01-22 11:54:43
INV000013,CLI00013,ACC000013,Brokerage Invoice,INV-2026-00013,178435.22,9842.84,12%,20231.09,188823.47,EUR,Partially Paid,2025-11-17 11:54:43,2025-12-17,,2025-05-22 11:54:43,2026-02-04 11:54:43
INV000014,CLI00014,ACC000014,Subscription,INV-2026-00014,189320.87,10713.22,0%,0.0,178607.65,GBP,Paid,2025-06-03 11:54:43,2025-07-03,2026-01-16 11:54:43,2026-01-10 11:54:43,2026-02-05 11:54:43
INV000015,CLI00015,ACC000015,Consulting,INV-2026-00015,39740.81,1486.14,12%,4590.56,42845.23,SGD,Overdue,2025-02-14 11:54:43,2025-03-16,,2025-06-20 11:54:43,2026-02-12 11:54:43
INV000016,CLI00016,ACC000016,Audit Fee,INV-2026-00016,139160.31,396.03,28%,38854.0,177618.28,AED,Cancelled,2026-01-10 11:54:43,2026-02-09,,2025-05-09 11:54:43,2026-01-17 11:54:43
INV000017,CLI00017,ACC000017,Tax Filing,INV-2026-00017,5719.02,430.1,0%,0.0,5288.92,JPY,Disputed,2025-11-18 11:54:43,2025-12-18,,2025-11-06 11:54:43,2026-01-29 11:54:43
INV000018,CLI00018,ACC000018,Custody Fee,INV-2026-00018,104852.51,9268.88,5%,4779.18,100362.81,CHF,Sent,2025-05-15 11:54:43,2025-06-14,,2025-12-30 11:54:43,2026-02-08 11:54:43
INV000019,CLI00019,ACC000019,Platform Fee,INV-2026-00019,12897.25,257.94,18%,2275.08,14914.39,CAD,Overdue,2025-06-04 11:54:43,2025-07-04,,2025-03-11 11:54:43,2026-01-22 11:54:43
INV000020,CLI00020,ACC000020,Performance Fee,INV-2026-00020,7542.49,93.85,28%,2085.62,9534.26,AUD,Sent,2025-12-08 11:54:43,2026-01-07,,2025-07-26 11:54:43,2026-01-24 11:54:43
