settlement_id,event_type,event_timestamp
55001,SETTLEMENT_INITIATED,2026-02-15 07:52:17.718652
55002,SETTLEMENT_COMPLETED,2026-02-15 03:52:17.718652
55003,SETTLEMENT_FAILED,2026-02-14 23:52:17.718652
55004,SETTLEMENT_INITIATED,2026-02-14 19:52:17.718652
55005,SETTLEMENT_COMPLETED,2026-02-14 15:52:17.718652
55006,SETTLEMENT_FAILED,2026-02-14 11:52:17.718652
55007,SETTLEMENT_INITIATED,2026-02-14 07:52:17.718652
55008,SETTLEMENT_COMPLETED,2026-02-14 03:52:17.718652
55009,SETTLEMENT_FAILED,2026-02-13 23:52:17.718652
55010,SETTLEMENT_INITIATED,2026-02-13 19:52:17.718652
