Case_ID,Activity,Timestamp,Transaction_ID,Amount,Account_Type
CASE-5877,Apply Loan,2023-08-07 12:10:33,81105,1032.43,Savings
CASE-6332,Transfer Funds,2023-09-25 12:06:31,65559,3117.44,Credit
CASE-7336,Logout,2023-03-19 18:24:30,57519,2392.47,Checking
CASE-7607,Apply Loan,2023-06-06 11:25:03,49554,4965.42,Savings
CASE-6989,Apply Loan,2023-10-16 21:11:22,71411,2791.69,Credit
CASE-8035,Check Balance,2023-10-05 00:35:23,82994,920.81,Savings
CASE-3469,Login,2023-05-06 21:58:29,50599,2003.41,Savings
CASE-4452,Transfer Funds,2023-03-11 20:25:04,55776,3236.68,Credit
CASE-2788,Logout,2023-11-03 21:03:30,21613,48.32,Savings
CASE-9429,Apply Loan,2023-07-02 09:14:45,35428,324.25,Credit
CASE-6815,Apply Loan,2023-06-15 17:29:15,16455,2474.32,Savings
CASE-4507,Check Balance,2023-12-06 14:36:02,21929,3306.85,Checking
CASE-3188,View Statement,2023-08-19 08:34:44,15561,1985.68,Credit
CASE-6551,Check Balance,2023-02-08 15:47:38,99252,4833.44,Checking
CASE-2911,Transfer Funds,2023-04-27 20:51:41,80247,3162.68,Checking
CASE-3419,Login,2023-06-26 05:56:24,31151,3284.78,Checking
CASE-4415,Login,2023-02-09 18:03:32,83349,3382.76,Credit
CASE-3286,Transfer Funds,2023-07-04 04:20:28,75864,3696.55,Credit
CASE-4530,Pay Bill,2023-02-21 09:29:15,76257,4283.83,Savings
CASE-4319,Check Balance,2023-02-21 16:14:09,58893,799.48,Savings
CASE-4647,Check Balance,2023-02-11 02:43:37,71203,4205.42,Credit
CASE-7987,Pay Bill,2023-11-13 15:24:19,84452,720.74,Checking
CASE-3312,View Statement,2023-07-12 07:37:57,84213,2605.78,Savings
CASE-1236,Logout,2023-05-19 04:53:04,67873,376.28,Checking
CASE-5148,Check Balance,2023-12-24 13:16:08,87932,4581.78,Savings
CASE-2129,View Statement,2023-05-28 18:44:34,11455,1268.17,Savings
CASE-1762,View Statement,2023-06-01 01:19:38,62073,2996.03,Checking
CASE-6996,Apply Loan,2023-12-14 03:43:53,75061,1907.63,Checking
CASE-4466,Apply Loan,2023-09-09 17:05:43,62048,1106.8,Savings
CASE-2061,Pay Bill,2023-04-07 14:50:28,22947,203.03,Credit
CASE-7886,Login,2023-07-01 03:06:58,52939,2651.82,Credit
CASE-9042,Transfer Funds,2023-05-16 06:14:00,69157,3747.27,Savings
CASE-3852,Transfer Funds,2023-01-12 01:12:47,59226,835.93,Savings
CASE-5631,Transfer Funds,2023-09-03 05:57:56,66331,3454.14,Checking
CASE-5245,View Statement,2023-01-16 21:55:26,90255,15.01,Credit
CASE-6032,Check Balance,2023-02-24 17:30:30,50076,988.71,Savings
CASE-3005,Transfer Funds,2023-12-22 02:57:29,38931,365.64,Credit
CASE-1967,Login,2023-07-21 23:36:56,45340,4670.28,Checking
CASE-1292,Check Balance,2023-02-01 19:51:40,52221,2996.93,Savings
CASE-8676,Transfer Funds,2023-09-23 05:03:41,81618,1397.59,Credit
CASE-2561,Check Balance,2023-01-12 05:25:04,67733,2866.26,Checking
CASE-7029,Transfer Funds,2023-10-06 07:23:17,25914,2040.78,Credit
CASE-9901,Apply Loan,2023-04-06 19:00:40,75402,730.25,Savings
CASE-1266,Transfer Funds,2023-12-18 17:14:28,80008,1309.49,Checking
CASE-3662,View Statement,2023-05-14 22:24:25,81106,3441.29,Checking
CASE-3311,Apply Loan,2023-12-26 17:14:42,73484,47.94,Savings
CASE-7031,Transfer Funds,2023-06-10 00:43:19,39145,1923.78,Savings
CASE-1401,Check Balance,2023-08-12 12:23:21,96033,3871.58,Credit
CASE-4630,View Statement,2023-08-05 18:42:21,60565,2618.08,Credit
CASE-2929,Check Balance,2023-06-02 03:14:54,79951,797.81,Credit
CASE-5275,Login,2023-03-08 09:13:22,47236,2648.56,Credit
CASE-6058,Pay Bill,2023-05-02 04:16:59,70565,472.42,Checking
CASE-9621,Login,2023-03-21 20:59:45,85618,1968.21,Savings
CASE-9169,Transfer Funds,2023-10-10 15:10:20,41545,3867.46,Checking
CASE-9725,Apply Loan,2023-11-03 04:00:40,76676,3941.8,Savings
CASE-4645,Pay Bill,2023-07-19 21:37:17,48649,4398.58,Credit
CASE-9435,Apply Loan,2023-05-24 06:24:18,29487,3250.66,Checking
CASE-1339,Login,2023-06-27 21:08:16,98254,3989.78,Savings
CASE-1466,Login,2023-10-08 08:47:06,18613,1889.3,Credit
CASE-6019,View Statement,2023-11-15 16:53:32,85127,239.68,Savings
CASE-8812,Logout,2023-07-20 07:57:55,31715,3604.09,Checking
CASE-2766,Transfer Funds,2023-07-02 23:55:13,75289,2096.93,Credit
CASE-7658,Logout,2023-06-18 15:51:10,88847,355.43,Savings
CASE-6532,Apply Loan,2023-10-11 09:44:31,34716,4770.91,Credit
CASE-4782,Pay Bill,2023-02-09 17:03:38,94668,2642.86,Credit
CASE-8452,Check Balance,2023-09-24 09:24:01,37884,1020.12,Savings
CASE-1982,View Statement,2023-06-16 15:39:33,96379,426.74,Checking
CASE-6465,Apply Loan,2023-09-05 09:38:11,52117,4911.69,Savings
CASE-6046,Pay Bill,2023-12-28 05:53:15,26199,1571.34,Credit
CASE-8208,Login,2023-01-15 13:39:13,11628,2337.62,Credit
CASE-7896,Transfer Funds,2023-09-09 17:39:23,80578,4694.41,Savings
CASE-9274,View Statement,2023-11-13 18:29:53,91045,768.71,Checking
CASE-3129,Logout,2023-08-29 12:25:21,91521,2238.92,Savings
CASE-2479,Logout,2023-06-30 11:23:48,84570,941.76,Checking
CASE-2320,Transfer Funds,2023-09-28 12:42:50,31098,2115.48,Savings
CASE-9677,Apply Loan,2023-11-22 20:10:33,75703,1001.06,Checking
CASE-4591,Apply Loan,2023-05-13 16:23:34,55762,3255.64,Credit
CASE-1536,Pay Bill,2023-11-18 19:13:57,57500,1714.06,Savings
CASE-1737,Check Balance,2023-05-11 09:41:17,79822,990.55,Checking
CASE-3519,Apply Loan,2023-07-08 15:22:54,76453,775.32,Credit
CASE-6361,Pay Bill,2023-10-01 12:05:47,49990,4398.83,Savings
CASE-4903,View Statement,2023-09-07 04:06:11,61592,1950.39,Credit
CASE-8605,Login,2023-02-01 16:46:32,27783,1230.52,Checking
CASE-3524,Login,2023-06-02 00:49:02,78678,3978.0,Credit
CASE-9095,Logout,2023-07-22 02:40:36,95152,4055.04,Credit
CASE-9903,Login,2023-06-13 03:25:54,29602,2710.48,Savings
CASE-2971,View Statement,2023-10-07 23:30:43,76379,954.46,Checking
CASE-1174,View Statement,2023-05-08 19:00:49,75005,2013.54,Savings
CASE-1338,Transfer Funds,2023-08-29 05:56:21,73285,1905.72,Credit
CASE-4418,Logout,2023-04-07 19:21:25,35227,25.2,Checking
CASE-3731,View Statement,2023-08-23 11:06:03,53690,3462.78,Savings
CASE-5036,Logout,2023-08-28 14:36:02,48390,734.48,Credit
CASE-3112,Apply Loan,2023-01-17 09:43:14,67936,2963.18,Credit
CASE-5635,Check Balance,2023-10-03 16:17:53,97233,226.91,Checking
CASE-4309,Apply Loan,2023-09-07 01:04:31,59135,4125.23,Checking
