shipment_id,order_id,store_id,carrier_name,tracking_number,shipment_status,origin_city,destination_city,weight_kg,shipping_cost,estimated_delivery_date,shipped_at,out_for_delivery_at,delivered_at,created_at,updated_at
SHP0000001,ORD00000001,STR0001,BlueDart,WZK1JSOOG6AH,In Transit,Chennai,Ahmedabad,19.82,221.92,2026-01-29,2026-01-27 12:08:37,,,2026-02-05 12:08:37,2026-02-10 12:08:37
SHP0000002,ORD00000002,STR0002,Delhivery,TF62KR7M4ONX,Booked,Mumbai,Madurai,4.96,8.8,2026-02-08,2026-02-06 12:08:37,,,2026-01-24 12:08:37,2026-02-07 12:08:37
SHP0000003,ORD00000003,STR0003,DTDC,LHV13YT6BRUV,Picked Up,Delhi,Coimbatore,27.89,139.61,2026-02-10,2026-02-07 12:08:37,,,2026-01-22 12:08:37,2026-02-09 12:08:37
SHP0000004,ORD00000004,STR0004,Ecom Express,IJZN3ODNU16F,Held at Hub,Bangalore,Kochi,4.95,152.51,2026-01-30,2026-01-28 12:08:37,,,2026-02-04 12:08:37,2026-02-09 12:08:37
SHP0000005,ORD00000005,STR0005,FedEx,YNSIGRM74LGN,Returned to Origin,Hyderabad,Jaipur,27.87,114.3,2026-02-15,2026-02-10 12:08:37,,,2026-01-24 12:08:37,2026-02-10 12:08:37
SHP0000006,ORD00000006,STR0006,DHL,BD8WVML4V6XJ,Booked,Pune,Lucknow,25.35,223.64,2026-02-14,2026-02-09 12:08:37,,,2026-01-31 12:08:37,2026-02-12 12:08:37
SHP0000007,ORD00000007,STR0007,Amazon Logistics,6OKQ44ODXCMD,Delivered,Kolkata,Nagpur,9.9,80.21,2026-02-14,2026-02-11 12:08:37,2026-02-14 12:08:37,2026-02-14 12:08:37,2026-01-21 12:08:37,2026-02-11 12:08:37
SHP0000008,ORD00000008,STR0008,Shadowfax,DB7E7M5L0YH3,In Transit,Ahmedabad,Surat,26.37,13.29,2026-01-29,2026-01-24 12:08:37,,,2026-02-05 12:08:37,2026-02-11 12:08:37
SHP0000009,ORD00000009,STR0009,XpressBees,9V8UW1XPP4RA,Failed Delivery,Madurai,Indore,19.18,196.02,2026-02-08,2026-02-05 12:08:37,,,2026-01-23 12:08:37,2026-02-08 12:08:37
SHP0000010,ORD00000010,STR0010,India Post,8R8QWU8KYN6T,Booked,Coimbatore,Bhopal,18.46,217.92,2026-01-22,2026-01-19 12:08:37,,,2026-02-12 12:08:37,2026-02-10 12:08:37
SHP0000011,ORD00000011,STR0011,Ekart,B784EQ971IV5,Failed Delivery,Kochi,Patna,26.23,64.57,2026-02-08,2026-02-06 12:08:37,,,2026-02-01 12:08:37,2026-02-11 12:08:37
SHP0000012,ORD00000012,STR0012,Shyplite,M9AMQSLM3RJK,Delivered,Jaipur,Vadodara,10.57,119.53,2026-02-09,2026-02-04 12:08:37,2026-02-06 12:08:37,2026-02-06 12:08:37,2026-02-08 12:08:37,2026-02-13 12:08:37
SHP0000013,ORD00000013,STR0013,Shiprocket,E1JFPRZTS2M2,Delivered,Lucknow,Visakhapatnam,15.47,3.38,2026-01-16,2026-01-14 12:08:37,2026-01-17 12:08:37,2026-01-19 12:08:37,2026-02-07 12:08:37,2026-02-12 12:08:37
SHP0000014,ORD00000014,STR0014,Dunzo,SRF4RJFVFB05,Failed Delivery,Nagpur,Chennai,24.55,135.83,2026-01-30,2026-01-27 12:08:37,,,2026-01-24 12:08:37,2026-02-06 12:08:37
SHP0000015,ORD00000015,STR0015,Porter,MD2SY1FSGG02,Returned to Origin,Surat,Mumbai,19.6,161.89,2026-01-31,2026-01-26 12:08:37,,,2026-02-03 12:08:37,2026-02-10 12:08:37
SHP0000016,ORD00000016,STR0016,BlueDart,5MZVS3FR1T00,Held at Hub,Indore,Delhi,24.99,42.93,2026-02-07,2026-02-03 12:08:37,,,2026-01-25 12:08:37,2026-02-12 12:08:37
SHP0000017,ORD00000017,STR0017,Delhivery,84NYL0N9H6JI,Delivered,Bhopal,Bangalore,18.48,135.97,2026-02-01,2026-01-28 12:08:37,2026-01-31 12:08:37,2026-01-31 12:08:37,2026-01-15 12:08:37,2026-02-11 12:08:37
SHP0000018,ORD00000018,STR0018,DTDC,CFHC2KF0AJB0,Picked Up,Patna,Hyderabad,17.17,26.87,2026-01-18,2026-01-15 12:08:37,,,2026-02-04 12:08:37,2026-02-12 12:08:37
SHP0000019,ORD00000019,STR0019,Ecom Express,JULHXAXSD18I,Returned to Origin,Vadodara,Pune,10.67,33.44,2026-02-09,2026-02-05 12:08:37,,,2026-01-24 12:08:37,2026-02-12 12:08:37
SHP0000020,ORD00000020,STR0020,FedEx,MHIVE7CIB33K,Returned to Origin,Visakhapatnam,Kolkata,12.13,73.34,2026-02-17,2026-02-12 12:08:37,,,2026-01-18 12:08:37,2026-02-08 12:08:37
