department_id,department_name,created_at
1,HR,2026-01-01 08:00
2,Finance,2026-01-02 08:00
3,IT,2026-01-03 08:00
4,Marketing,2026-01-04 08:00
5,Sales,2026-01-05 08:00
6,Legal,2026-01-06 08:00
7,Operations,2026-01-07 08:00
8,Customer Service,2026-01-08 08:00
9,Procurement,2026-01-09 08:00
10,Analytics,2026-01-10 08:00
11,Training,2026-01-11 08:00
12,Design,2026-01-12 08:00
13,Logistics,2026-01-13 08:00
14,Support,2026-01-14 08:00
15,IT Security,2026-01-15 08:00
16,Research,2026-01-16 08:00
17,Public Relations,2026-01-17 08:00
18,Administration,2026-01-18 08:00
19,Quality,2026-01-19 08:00
20,Compliance,2026-01-20 08:00
