attendance_id,employee_id,attendance_date,status
1,1,2026-02-01,Present
2,2,2026-02-01,Absent
3,3,2026-02-01,Present
4,4,2026-02-01,Present
5,5,2026-02-01,Absent
6,6,2026-02-01,Present
7,7,2026-02-01,Present
8,8,2026-02-01,Present
9,9,2026-02-01,Absent
10,10,2026-02-01,Present
11,11,2026-02-01,Present
12,12,2026-02-01,Absent
13,13,2026-02-01,Present
14,14,2026-02-01,Present
15,15,2026-02-01,Present
16,16,2026-02-01,Absent
17,17,2026-02-01,Present
18,18,2026-02-01,Present
19,19,2026-02-01,Present
20,20,2026-02-01,Present
