attendance_id,employee_id,department_id,attendance_date,attendance_status,check_in_time,check_out_time,work_hours,overtime_hours,late_by_minutes,early_exit_minutes,location,device_used,shift,created_at,updated_at
ATT0000001,EMP00001,DEPT001,2026-01-20,Present,2026-01-20 08:59:00,2026-01-20 19:32:00,10.55,2.55,0,0,Office,Biometric,Morning 9AM-6PM,2025-12-09 12:45:53,2026-02-16 12:45:53
ATT0000002,EMP00002,DEPT002,2026-01-12,Absent,,,,,,,Work From Home,Mobile App,Night 6PM-3AM,2025-12-21 12:45:53,2026-02-16 12:45:53
ATT0000003,EMP00003,DEPT003,2026-01-29,Half Day,,,,,,,Client Site,Web Portal,Rotational,2025-12-21 12:45:53,2026-02-16 12:45:53
ATT0000004,EMP00004,DEPT004,2025-12-29,Work From Home,,,,,,,Field,Badge Swipe,General 10AM-7PM,2026-01-26 12:45:53,2026-02-16 12:45:53
ATT0000005,EMP00005,DEPT005,2025-12-04,On Leave,,,,,,,Data Center,Face Recognition,Flexible,2026-01-22 12:45:53,2026-02-15 12:45:53
ATT0000006,EMP00006,DEPT006,2025-11-29,Holiday,,,,,,,Office,Biometric,Morning 9AM-6PM,2025-11-24 12:45:53,2026-02-15 12:45:53
ATT0000007,EMP00007,DEPT007,2026-02-02,Weekend,,,,,,,Work From Home,Mobile App,Night 6PM-3AM,2025-12-18 12:45:53,2026-02-16 12:45:53
ATT0000008,EMP00008,DEPT008,2025-12-28,Late Arrival,2025-12-28 10:06:00,2025-12-28 20:34:00,10.47,2.47,66,0,Client Site,Web Portal,Rotational,2025-11-29 12:45:53,2026-02-16 12:45:53
ATT0000009,EMP00009,DEPT009,2025-12-14,Early Exit,2025-12-14 10:01:00,2025-12-14 20:57:00,10.93,2.93,61,0,Field,Badge Swipe,General 10AM-7PM,2026-01-18 12:45:53,2026-02-16 12:45:53
ATT0000010,EMP00010,DEPT010,2026-02-04,On Tour,,,,,,,Data Center,Face Recognition,Flexible,2025-12-18 12:45:53,2026-02-15 12:45:53
ATT0000011,EMP00011,DEPT011,2025-12-27,Present,2025-12-27 09:53:00,2025-12-27 18:51:00,8.97,0.97,53,0,Office,Biometric,Morning 9AM-6PM,2026-02-14 12:45:53,2026-02-15 12:45:53
ATT0000012,EMP00012,DEPT012,2026-01-05,Absent,,,,,,,Work From Home,Mobile App,Night 6PM-3AM,2026-01-21 12:45:53,2026-02-15 12:45:53
ATT0000013,EMP00013,DEPT013,2026-01-19,Half Day,,,,,,,Client Site,Web Portal,Rotational,2026-01-18 12:45:53,2026-02-15 12:45:53
ATT0000014,EMP00014,DEPT014,2026-02-07,Work From Home,,,,,,,Field,Badge Swipe,General 10AM-7PM,2026-02-11 12:45:53,2026-02-16 12:45:53
ATT0000015,EMP00015,DEPT015,2026-01-03,On Leave,,,,,,,Data Center,Face Recognition,Flexible,2026-01-22 12:45:53,2026-02-16 12:45:53
ATT0000016,EMP00016,DEPT016,2026-01-19,Holiday,,,,,,,Office,Biometric,Morning 9AM-6PM,2026-02-09 12:45:53,2026-02-16 12:45:53
ATT0000017,EMP00017,DEPT017,2026-01-04,Weekend,,,,,,,Work From Home,Mobile App,Night 6PM-3AM,2025-12-16 12:45:53,2026-02-16 12:45:53
ATT0000018,EMP00018,DEPT018,2025-12-01,Late Arrival,2025-12-01 10:30:00,2025-12-01 20:17:00,9.78,1.78,90,0,Client Site,Web Portal,Rotational,2026-01-17 12:45:53,2026-02-15 12:45:53
ATT0000019,EMP00019,DEPT019,2026-01-13,Early Exit,2026-01-13 08:56:00,2026-01-13 19:09:00,10.22,2.22,0,0,Field,Badge Swipe,General 10AM-7PM,2026-01-23 12:45:53,2026-02-16 12:45:53
ATT0000020,EMP00020,DEPT020,2025-11-22,On Tour,,,,,,,Data Center,Face Recognition,Flexible,2025-11-22 12:45:53,2026-02-16 12:45:53
