Case_ID,Activity,Timestamp,Transaction_ID,Amount,Account_Type
CASE-9277,Pay Bill,2023-11-04 14:03:33,12574,1732.41,Credit
CASE-3152,Transfer Funds,2023-11-09 20:17:37,36773,2576.54,Savings
CASE-4821,Pay Bill,2023-05-27 15:32:12,65051,4163.99,Credit
CASE-4310,View Statement,2023-06-18 06:36:21,46699,2990.03,Checking
CASE-2907,View Statement,2023-08-30 06:19:32,38604,3327.88,Credit
CASE-5565,View Statement,2023-08-13 02:20:13,63450,3184.53,Credit
CASE-2778,Login,2023-03-27 21:53:42,92643,514.15,Savings
CASE-4047,Check Balance,2023-10-30 08:09:29,91984,2603.99,Savings
CASE-1316,Logout,2023-06-07 20:55:56,40699,4134.48,Savings
CASE-4480,Pay Bill,2023-01-23 22:39:41,77488,549.33,Savings
CASE-1403,View Statement,2023-09-28 10:55:56,94892,4694.25,Credit
CASE-3620,Pay Bill,2023-12-03 20:59:03,82522,2935.78,Savings
CASE-3602,Transfer Funds,2023-03-30 22:47:46,70127,350.2,Checking
CASE-5770,Check Balance,2023-07-19 01:11:46,85134,3754.08,Savings
CASE-4609,Login,2023-12-17 04:03:03,61498,3933.61,Checking
CASE-5757,Logout,2023-06-16 16:56:57,17564,4138.32,Checking
CASE-5890,Login,2023-11-22 10:20:36,82224,3208.6,Credit
CASE-7006,View Statement,2023-05-10 18:27:18,86333,4516.43,Savings
CASE-5270,Login,2023-01-25 22:03:39,45181,4313.51,Credit
CASE-8306,Check Balance,2023-05-12 13:32:20,28833,928.8,Credit
CASE-2925,Login,2023-01-01 19:20:35,94628,4953.3,Checking
CASE-8593,Apply Loan,2023-01-01 11:20:15,35275,2673.55,Savings
CASE-7430,Apply Loan,2023-08-01 19:06:48,52282,998.99,Credit
CASE-3234,Pay Bill,2023-06-15 22:38:07,59259,3020.07,Checking
CASE-6917,Transfer Funds,2023-06-16 17:22:05,52613,4968.71,Credit
CASE-2116,Logout,2023-04-16 20:53:02,17365,3753.12,Checking
CASE-2797,Apply Loan,2023-09-14 04:34:39,58046,3601.48,Checking
CASE-3476,Transfer Funds,2023-03-29 04:18:59,23009,1057.12,Savings
CASE-9600,Check Balance,2023-01-01 09:28:49,60173,3444.08,Savings
CASE-7784,Logout,2023-10-02 07:44:53,70313,2988.45,Checking
CASE-2933,Login,2023-03-15 21:45:43,51725,4480.43,Credit
CASE-8376,View Statement,2023-08-25 13:11:10,10843,1819.07,Credit
CASE-1037,Apply Loan,2023-07-06 12:29:53,12660,3023.66,Credit
CASE-4918,Check Balance,2023-09-02 23:19:37,28972,3025.37,Savings
CASE-2018,Check Balance,2023-06-13 18:08:19,48488,979.51,Checking
CASE-4904,Apply Loan,2023-04-24 23:23:51,24983,1164.72,Credit
CASE-2602,Transfer Funds,2023-01-13 04:56:44,29107,3003.16,Checking
CASE-4550,Apply Loan,2023-09-17 12:51:51,20213,2318.98,Checking
CASE-6619,Logout,2023-10-15 14:00:41,11000,1644.24,Savings
CASE-9390,Login,2023-09-17 10:44:23,93918,4085.87,Savings
CASE-9994,Check Balance,2023-04-30 03:03:43,58241,358.28,Checking
CASE-8750,Login,2023-12-23 05:43:15,43808,1552.23,Checking
CASE-8464,Logout,2023-06-16 21:32:26,39986,1613.01,Credit
CASE-6537,Apply Loan,2023-02-02 14:33:03,87215,3554.84,Credit
CASE-8367,Pay Bill,2023-01-17 03:22:55,65849,134.23,Checking
CASE-1449,Transfer Funds,2023-05-24 05:05:46,60621,3929.03,Credit
CASE-6033,View Statement,2023-01-25 21:48:05,79493,1432.18,Checking
CASE-7837,Login,2023-10-07 04:39:15,93240,3150.97,Checking
CASE-5198,Pay Bill,2023-01-13 21:42:53,56136,4796.63,Savings
CASE-1186,Login,2023-11-07 10:10:15,77749,1154.23,Credit
CASE-8269,Pay Bill,2023-07-28 01:52:42,37134,4579.49,Credit
CASE-8772,View Statement,2023-02-01 06:24:29,87843,791.56,Credit
CASE-1513,Apply Loan,2023-06-28 08:36:15,98387,1776.42,Savings
CASE-3484,Check Balance,2023-03-29 05:23:30,43653,2477.26,Credit
CASE-3169,View Statement,2023-04-13 13:25:14,25922,587.04,Savings
CASE-2642,Transfer Funds,2023-02-21 14:01:39,18043,1179.11,Savings
CASE-4276,Login,2023-07-20 13:31:07,10358,2798.62,Savings
CASE-7762,Apply Loan,2023-07-28 17:20:21,88957,2568.66,Credit
CASE-4250,View Statement,2023-03-09 07:56:15,62257,1664.65,Checking
CASE-3404,Transfer Funds,2023-07-12 03:39:56,28213,2733.44,Savings
CASE-9012,Logout,2023-04-15 04:29:29,32544,2457.63,Credit
CASE-2539,Transfer Funds,2023-07-06 22:31:19,27644,2383.7,Savings
CASE-5920,Check Balance,2023-02-13 18:25:58,70751,449.71,Credit
CASE-4880,Check Balance,2023-08-15 17:26:28,36142,4793.26,Credit
CASE-9928,Login,2023-04-21 20:45:11,78599,2385.96,Credit
