column_name,actual_domain,confuse_with
account_balance,finance,banking
account_id,finance,banking
bank_reference_no,finance,banking
branch_code,finance,banking
claim_amount,finance,insurance
coverage_amount,finance,insurance
credit_amount,finance,banking
debit_amount,finance,banking
deposit_amount,finance,banking
interest_amount,finance,banking
invoice_amount,finance,retail
loan_amount,finance,banking
policy_fee,finance,insurance
premium_amount,finance,insurance
settlement_amount,finance,insurance
tax_amount,finance,retail
transaction_amount,finance,banking
withdrawal_amount,finance,banking
