portfolio_id,client_id,account_id,portfolio_name,portfolio_type,invested_value,current_value,unrealised_pnl,xirr_pct,benchmark_index,inception_date,last_rebalanced_at,created_at,updated_at
PRT00001,CLI00001,ACC000001,Equity Portfolio 1,Equity,2800576.37,5749257.35,2948680.98,23.8,NIFTY 50,2021-10-23,2026-01-21 11:54:43,2021-08-24 11:54:43,2026-01-19 11:54:43
PRT00002,CLI00002,ACC000002,Debt Portfolio 2,Debt,3372075.44,6377686.63,3005611.19,-8.64,SENSEX,2021-09-07,2025-11-15 11:54:43,2023-03-09 11:54:43,2026-01-24 11:54:43
PRT00003,CLI00003,ACC000003,Hybrid Portfolio 3,Hybrid,1962332.3,3737126.04,1774793.74,-4.17,NIFTY MIDCAP,2023-11-23,2026-01-31 11:54:43,2023-09-22 11:54:43,2026-01-15 11:54:43
PRT00004,CLI00004,ACC000004,Liquid Portfolio 4,Liquid,1579655.82,2609180.21,1029524.39,10.93,NIFTY SMALLCAP,2024-03-30,2025-12-06 11:54:43,2024-02-07 11:54:43,2026-01-23 11:54:43
PRT00005,CLI00005,ACC000005,ELSS Portfolio 5,ELSS,2001632.17,1785406.16,-216226.01,24.88,NIFTY BANK,2024-12-21,2025-12-10 11:54:43,2022-05-08 11:54:43,2026-02-13 11:54:43
PRT00006,CLI00006,ACC000006,Index Portfolio 6,Index,730578.85,972399.48,241820.63,10.22,S&P 500,2022-02-20,2026-01-28 11:54:43,2024-04-13 11:54:43,2026-01-23 11:54:43
PRT00007,CLI00007,ACC000007,Sectoral Portfolio 7,Sectoral,4145743.46,3841136.81,-304606.65,12.3,NASDAQ,2025-02-22,2025-11-15 11:54:43,2023-09-27 11:54:43,2026-01-25 11:54:43
PRT00008,CLI00008,ACC000008,International Portfolio 8,International,3684045.91,3827953.53,143907.62,22.13,NIFTY IT,2023-05-24,2025-12-27 11:54:43,2021-08-23 11:54:43,2026-02-01 11:54:43
PRT00009,CLI00009,ACC000009,Gold Portfolio 9,Gold,4899022.02,4897333.48,-1688.54,-8.33,NIFTY PHARMA,2024-06-21,2025-12-25 11:54:43,2023-03-28 11:54:43,2026-02-10 11:54:43
PRT00010,CLI00010,ACC000010,Real Estate Portfolio 10,Real Estate,523106.58,486595.22,-36511.36,29.37,NIFTY FMCG,2021-02-20,2025-12-30 11:54:43,2022-03-29 11:54:43,2026-01-15 11:54:43
PRT00011,CLI00011,ACC000011,Equity Portfolio 11,Equity,2547324.74,3763532.59,1216207.85,34.07,NIFTY 50,2024-09-12,2026-01-06 11:54:43,2023-02-02 11:54:43,2026-01-22 11:54:43
PRT00012,CLI00012,ACC000012,Debt Portfolio 12,Debt,732686.66,586274.79,-146411.87,-7.15,SENSEX,2025-08-15,2025-12-22 11:54:43,2021-04-10 11:54:43,2026-01-19 11:54:43
PRT00013,CLI00013,ACC000013,Hybrid Portfolio 13,Hybrid,3982400.37,4389485.43,407085.06,3.28,NIFTY MIDCAP,2022-09-08,2026-01-15 11:54:43,2021-07-03 11:54:43,2026-01-16 11:54:43
PRT00014,CLI00014,ACC000014,Liquid Portfolio 14,Liquid,2300880.99,1666316.43,-634564.56,28.36,NIFTY SMALLCAP,2023-05-08,2025-12-24 11:54:43,2024-03-14 11:54:43,2026-02-02 11:54:43
PRT00015,CLI00015,ACC000015,ELSS Portfolio 15,ELSS,4288882.47,8684320.06,4395437.59,-8.18,NIFTY BANK,2024-12-14,2026-01-15 11:54:43,2023-11-24 11:54:43,2026-02-12 11:54:43
PRT00016,CLI00016,ACC000016,Index Portfolio 16,Index,2668288.02,5034128.89,2365840.87,34.67,S&P 500,2023-12-29,2026-02-01 11:54:43,2023-03-01 11:54:43,2026-01-20 11:54:43
PRT00017,CLI00017,ACC000017,Sectoral Portfolio 17,Sectoral,2204464.31,4309294.57,2104830.26,4.27,NASDAQ,2025-06-22,2026-01-08 11:54:43,2023-03-23 11:54:43,2026-02-03 11:54:43
PRT00018,CLI00018,ACC000018,International Portfolio 18,International,4396725.55,4990777.48,594051.93,-8.71,NIFTY IT,2021-10-03,2025-11-22 11:54:43,2024-01-24 11:54:43,2026-02-02 11:54:43
PRT00019,CLI00019,ACC000019,Gold Portfolio 19,Gold,473816.83,475788.71,1971.88,29.72,NIFTY PHARMA,2025-07-09,2025-12-12 11:54:43,2022-10-25 11:54:43,2026-01-29 11:54:43
PRT00020,CLI00020,ACC000020,Real Estate Portfolio 20,Real Estate,652129.88,1289355.14,637225.26,28.98,NIFTY FMCG,2021-04-02,2025-11-20 11:54:43,2025-04-14 11:54:43,2026-01-16 11:54:43
