event_id,employee_id,event_name,event_timestamp
1,101,Employee profile creation,2024-01-10 09:15:00
2,101,HR discussion,2024-01-11 10:00:00
3,101,Job requisition creation,2024-01-12 11:30:00
4,101,Interview scheduled,2024-01-15 14:00:00
5,101,Offer letter issued,2024-01-18 16:00:00

6,102,Employee profile creation,2024-02-05 09:20:00
7,102,HR discussion,2024-02-06 10:10:00
8,102,Job requisition creation,2024-02-07 11:45:00
9,102,Interview scheduled,2024-02-10 15:00:00
10,102,Offer letter issued,2024-02-12 17:30:00

11,103,Employee profile creation,2024-03-12 09:10:00
12,103,HR discussion,2024-03-13 10:00:00
13,103,Job requisition creation,2024-03-14 11:15:00
14,103,Interview scheduled,2024-03-17 14:45:00
15,103,Offer letter issued,2024-03-20 16:00:00

16,104,Employee profile creation,2024-04-01 09:00:00
17,104,HR discussion,2024-04-02 10:30:00
18,104,Job requisition creation,2024-04-03 11:20:00
19,104,Interview scheduled,2024-04-06 15:10:00
20,104,Offer letter issued,2024-04-08 17:00:00

21,105,Employee profile creation,2024-05-20 09:05:00
22,105,HR discussion,2024-05-21 10:15:00
23,105,Job requisition creation,2024-05-22 11:40:00
24,105,Interview scheduled,2024-05-25 14:30:00
25,105,Offer letter issued,2024-05-28 16:45:00
