portfolio_id,event_type,event_timestamp
51001,PORTFOLIO_CREATED,2026-02-15 07:52:17.718652
51002,PORTFOLIO_UPDATED,2026-02-15 06:52:17.718652
51003,ASSET_ADDED,2026-02-15 05:52:17.718652
51004,ASSET_REMOVED,2026-02-15 04:52:17.718652
51005,PORTFOLIO_REBALANCED,2026-02-15 03:52:17.718652
51006,PORTFOLIO_CREATED,2026-02-15 02:52:17.718652
51007,ASSET_ADDED,2026-02-15 01:52:17.718652
51008,ASSET_REMOVED,2026-02-15 00:52:17.718652
51009,PORTFOLIO_UPDATED,2026-02-14 23:52:17.718652
51010,PORTFOLIO_REBALANCED,2026-02-14 22:52:17.718652
