uw_id,policy_id,event_type,uw_status,event_timestamp
10001,6001,UW_REVIEW,IN_REVIEW,2026-02-15 07:19:58.408708
10002,6002,UW_APPROVED,APPROVED,2026-02-15 07:04:58.408708
10003,6003,UW_REJECTED,REJECTED,2026-02-15 06:49:58.408708
10004,6004,UW_REVIEW,IN_REVIEW,2026-02-15 06:34:58.408708
10005,6005,UW_APPROVED,APPROVED,2026-02-15 06:19:58.408708
10006,6006,UW_REVIEW,IN_REVIEW,2026-02-15 06:04:58.408708
10007,6007,UW_APPROVED,APPROVED,2026-02-15 05:49:58.408708
10008,6008,UW_REJECTED,REJECTED,2026-02-15 05:34:58.408708
10009,6009,UW_REVIEW,IN_REVIEW,2026-02-15 05:19:58.408708
10010,6010,UW_APPROVED,APPROVED,2026-02-15 05:04:58.408708
