market_id,event_type,event_timestamp
52001,PRICE_UPDATED,2026-02-15 07:52:17.718652
52002,INDEX_UPDATED,2026-02-15 07:49:17.718652
52003,MARKET_OPEN,2026-02-15 07:46:17.718652
52004,MARKET_CLOSE,2026-02-15 07:43:17.718652
52005,PRICE_UPDATED,2026-02-15 07:40:17.718652
52006,INDEX_UPDATED,2026-02-15 07:37:17.718652
52007,MARKET_OPEN,2026-02-15 07:34:17.718652
52008,MARKET_CLOSE,2026-02-15 07:31:17.718652
52009,PRICE_UPDATED,2026-02-15 07:28:17.718652
52010,INDEX_UPDATED,2026-02-15 07:25:17.718652
