session_id,account_id,event_type,device_type,event_timestamp
5001,1001,LOGIN,MOBILE,2026-02-15 07:14:37.098381
5002,1002,LOGOUT,MOBILE,2026-02-15 07:11:37.098381
5003,1003,BILL_PAYMENT,WEB,2026-02-15 07:08:37.098381
5004,1004,LOGIN,MOBILE,2026-02-15 07:05:37.098381
5005,1005,UPI_PAYMENT,MOBILE,2026-02-15 07:02:37.098381
5006,1006,LOGIN,WEB,2026-02-15 06:59:37.098381
5007,1007,PASSWORD_RESET,WEB,2026-02-15 06:56:37.098381
5008,1008,LOGIN,MOBILE,2026-02-15 06:53:37.098381
5009,1009,LOGOUT,MOBILE,2026-02-15 06:50:37.098381
5010,1010,LOGIN,WEB,2026-02-15 06:47:37.098381
