account_id,event_type,account_status,event_timestamp
30001,ACCOUNT_OPENED,ACTIVE,2026-02-15 07:49:27.563072
30002,ACCOUNT_UPDATED,ACTIVE,2026-02-15 06:49:27.563072
30003,ACCOUNT_FROZEN,FROZEN,2026-02-15 05:49:27.563072
30004,ACCOUNT_REACTIVATED,ACTIVE,2026-02-15 04:49:27.563072
30005,ACCOUNT_OPENED,ACTIVE,2026-02-15 03:49:27.563072
30006,ACCOUNT_UPDATED,ACTIVE,2026-02-15 02:49:27.563072
30007,ACCOUNT_CLOSED,CLOSED,2026-02-15 01:49:27.563072
30008,ACCOUNT_OPENED,ACTIVE,2026-02-15 00:49:27.563072
30009,ACCOUNT_UPDATED,ACTIVE,2026-02-14 23:49:27.563072
30010,ACCOUNT_OPENED,ACTIVE,2026-02-14 22:49:27.563072
