policy_id,event_type,event_timestamp
37001,POLICY_CREATED,2026-02-15 07:49:27.563072
37002,POLICY_RENEWED,2026-02-12 07:49:27.563072
37003,POLICY_LAPSED,2026-02-09 07:49:27.563072
37004,POLICY_CREATED,2026-02-06 07:49:27.563072
37005,POLICY_RENEWED,2026-02-03 07:49:27.563072
37006,POLICY_LAPSED,2026-01-31 07:49:27.563072
37007,POLICY_CREATED,2026-01-28 07:49:27.563072
37008,POLICY_RENEWED,2026-01-25 07:49:27.563072
37009,POLICY_LAPSED,2026-01-22 07:49:27.563072
37010,POLICY_CREATED,2026-01-19 07:49:27.563072
