investment_id,event_type,event_timestamp
32001,INVESTMENT_CREATED,2026-02-15 07:49:27.563072
32002,INVESTMENT_UPDATED,2026-02-14 07:49:27.563072
32003,DIVIDEND_PAID,2026-02-13 07:49:27.563072
32004,INVESTMENT_CREATED,2026-02-12 07:49:27.563072
32005,INVESTMENT_UPDATED,2026-02-11 07:49:27.563072
32006,DIVIDEND_PAID,2026-02-10 07:49:27.563072
32007,INVESTMENT_CREATED,2026-02-09 07:49:27.563072
32008,INVESTMENT_UPDATED,2026-02-08 07:49:27.563072
32009,DIVIDEND_PAID,2026-02-07 07:49:27.563072
32010,INVESTMENT_CREATED,2026-02-06 07:49:27.563072
