payment_id,event_type,amount,event_timestamp
31001,PAYMENT_INITIATED,500,2026-02-15 07:49:27.563072
31002,PAYMENT_COMPLETED,1200,2026-02-15 07:44:27.563072
31003,PAYMENT_FAILED,700,2026-02-15 07:39:27.563072
31004,PAYMENT_INITIATED,900,2026-02-15 07:34:27.563072
31005,PAYMENT_COMPLETED,1500,2026-02-15 07:29:27.563072
31006,PAYMENT_REFUNDED,400,2026-02-15 07:24:27.563072
31007,PAYMENT_INITIATED,1100,2026-02-15 07:19:27.563072
31008,PAYMENT_COMPLETED,800,2026-02-15 07:14:27.563072
31009,PAYMENT_FAILED,650,2026-02-15 07:09:27.563072
31010,PAYMENT_COMPLETED,1300,2026-02-15 07:04:27.563072
