LoanID,CustomerID,LoanType,LoanAmount,InterestRate,TenureMonths,StartDate,EndDate,EMIAmount,OutstandingBalance,NextPaymentDate,LoanStatus,CollateralValue,DisbursalMode
LN000001,CUST00001,Education,492186.51,8.5,36,2023-11-11,2027-09-05,1109.39,38203.14,2024-07-03,Closed,268536.63,Cash
LN000002,CUST00002,Home,60110.82,10.48,60,2022-10-01,2026-03-14,2533.83,4057.93,2024-05-21,Defaulted,298576.44,Cash
LN000003,CUST00003,Education,472613.44,7.13,48,2022-02-10,2025-07-01,2596.5,14814.56,2024-09-27,Closed,352439.35,Transfer
LN000004,CUST00004,Auto,172764.72,5.03,36,2022-09-06,2025-03-25,1829.84,36240.34,2024-08-27,Defaulted,436717.41,Transfer
LN000005,CUST00005,Education,283437.19,11.93,12,2022-07-28,2025-08-03,1513.3,32875.82,2024-10-04,Active,392094.49,Check
LN000006,CUST00006,Home,431446.39,11.81,36,2023-12-06,2027-03-25,418.68,15541.72,2024-07-30,Closed,361961.02,Transfer
LN000007,CUST00007,Personal,404371.69,8.41,36,2023-10-15,2026-05-21,952.9,2475.25,2024-02-25,Defaulted,198199.79,Cash
LN000008,CUST00008,Home,308074.56,9.89,36,2022-07-02,2026-03-23,4967.46,41077.57,2024-03-25,Closed,237744.02,Check
LN000009,CUST00009,Home,356659.89,6.14,36,2023-01-26,2026-06-28,262.22,49305.55,2024-03-11,Active,39228.12,Transfer
LN000010,CUST00010,Education,265012.04,8.61,60,2022-07-07,2025-12-20,3305.62,43214.1,2024-01-18,Defaulted,34261.82,Check
LN000011,CUST00011,Education,355997.35,11.64,60,2022-07-02,2027-08-08,3116.48,10505.66,2024-06-27,Closed,148373.19,Cash
LN000012,CUST00012,Home,103199.29,6.23,60,2022-01-15,2025-01-16,1700.63,49163.82,2024-07-01,Active,386849.4,Check
LN000013,CUST00013,Education,422597.69,8.92,48,2023-01-27,2026-09-01,4424.29,27550.51,2024-07-31,Closed,450594.0,Check
LN000014,CUST00014,Personal,400346.11,8.0,24,2023-09-05,2025-08-17,4274.84,29199.33,2024-08-01,Closed,263943.41,Cash
LN000015,CUST00015,Auto,401108.03,10.93,48,2022-04-25,2025-09-24,3424.18,43943.05,2024-11-29,Active,539052.61,Check
LN000016,CUST00016,Auto,70802.11,5.25,36,2023-07-30,2025-03-24,883.91,40771.47,2024-07-09,Active,476953.32,Cash
LN000017,CUST00017,Personal,64325.25,5.11,60,2022-06-28,2027-07-22,2166.3,22214.64,2024-02-21,Closed,585256.9,Check
LN000018,CUST00018,Education,257746.42,5.25,60,2022-04-15,2026-11-25,1516.39,36252.15,2024-12-18,Closed,167078.31,Transfer
LN000019,CUST00019,Home,42095.13,7.7,36,2022-12-12,2027-01-09,4053.13,4223.13,2024-10-27,Active,220500.68,Check
LN000020,CUST00020,Personal,237071.95,5.49,12,2022-06-23,2026-12-05,4813.32,18006.72,2024-02-01,Closed,70826.14,Cash
LN000021,CUST00021,Personal,364292.98,9.75,60,2023-02-03,2025-09-02,937.96,38029.1,2024-03-01,Active,242584.29,Transfer
LN000022,CUST00022,Personal,404276.31,3.52,48,2023-02-15,2025-07-01,1366.95,42013.41,2024-09-23,Defaulted,474570.97,Check
LN000023,CUST00023,Auto,321664.0,8.84,48,2022-11-15,2025-09-24,4539.56,19939.68,2024-11-25,Closed,289441.76,Check
LN000024,CUST00024,Auto,50467.82,10.2,24,2023-06-04,2027-07-22,3828.35,34081.4,2024-04-08,Active,50461.48,Check
LN000025,CUST00025,Home,269987.23,8.13,48,2022-06-11,2026-05-15,3131.12,43624.36,2024-03-18,Defaulted,13341.23,Check
LN000026,CUST00026,Auto,471852.99,5.87,48,2023-03-26,2026-03-08,1732.28,11055.5,2024-08-16,Closed,145957.7,Check
LN000027,CUST00027,Education,281339.86,11.21,48,2022-08-04,2027-02-09,1299.99,12108.65,2024-02-10,Defaulted,59818.98,Check
LN000028,CUST00028,Personal,492732.85,5.53,24,2023-01-04,2025-05-23,2201.06,23761.81,2024-09-30,Active,460183.63,Cash
LN000029,CUST00029,Education,66036.08,4.44,24,2022-12-26,2026-01-11,2561.88,45053.07,2024-10-01,Closed,405878.93,Cash
LN000030,CUST00030,Home,166346.14,5.24,24,2022-04-02,2027-03-12,4297.34,8231.62,2024-02-21,Closed,84617.39,Transfer
LN000031,CUST00031,Auto,34002.61,4.17,36,2023-03-13,2026-08-17,3005.14,1870.18,2024-04-08,Closed,469102.45,Transfer
LN000032,CUST00032,Education,202851.88,7.25,12,2023-03-31,2026-12-21,2140.41,21760.13,2024-05-27,Closed,269565.29,Cash
LN000033,CUST00033,Personal,319173.87,3.64,36,2022-08-15,2026-01-16,3747.11,24953.7,2024-12-13,Active,511835.38,Cash
LN000034,CUST00034,Auto,41859.61,11.73,48,2022-01-14,2027-10-06,1558.2,27828.17,2024-09-25,Closed,236205.97,Check
LN000035,CUST00035,Education,455872.8,6.81,12,2023-08-21,2025-11-03,2681.33,27105.2,2024-12-24,Closed,126302.02,Transfer
LN000036,CUST00036,Education,78286.02,11.56,36,2022-08-31,2026-07-07,2831.69,33798.92,2024-05-16,Defaulted,39008.63,Check
LN000037,CUST00037,Education,188521.07,5.24,24,2023-08-20,2026-09-23,3827.44,28213.24,2024-05-03,Active,520958.38,Check
LN000038,CUST00038,Home,488137.61,8.1,24,2022-08-23,2025-05-03,1657.78,36810.87,2024-07-02,Active,269000.36,Transfer
LN000039,CUST00039,Auto,227467.08,11.8,36,2022-05-10,2027-01-27,3283.89,12473.46,2024-05-12,Closed,447082.93,Cash
LN000040,CUST00040,Auto,438348.51,11.03,48,2022-06-17,2025-11-01,1218.97,35495.97,2024-09-11,Defaulted,588536.82,Check
