action_id,event_type,event_timestamp
57001,DIVIDEND_DECLARED,2026-02-15 07:52:17.718652
57002,DIVIDEND_PAID,2026-02-13 07:52:17.718652
57003,BONUS_ISSUED,2026-02-11 07:52:17.718652
57004,SPLIT_ANNOUNCED,2026-02-09 07:52:17.718652
57005,MERGER_ANNOUNCED,2026-02-07 07:52:17.718652
57006,DIVIDEND_DECLARED,2026-02-05 07:52:17.718652
57007,DIVIDEND_PAID,2026-02-03 07:52:17.718652
57008,BONUS_ISSUED,2026-02-01 07:52:17.718652
57009,SPLIT_ANNOUNCED,2026-01-30 07:52:17.718652
57010,MERGER_ANNOUNCED,2026-01-28 07:52:17.718652
