Case_ID,Activity,Timestamp,Portfolio_ID,Stock_Symbol,Quantity,Price
CASE-5660,Sell Stock,2023-09-08 08:48:54,48026,GOOGL,N/A,3461.72
CASE-6013,Buy Stock,2023-07-01 09:59:21,71271,AAPL,N/A,2578.07
CASE-3119,Buy Stock,2023-12-14 00:28:53,77858,AAPL,N/A,1609.37
CASE-6010,Consultation,2023-03-23 11:05:06,60163,AAPL,N/A,1747.68
CASE-8774,Dividend Received,2023-02-16 08:40:55,50418,MSFT,N/A,679.81
CASE-9565,Consultation,2023-02-25 16:04:09,90188,TSLA,N/A,4748.48
CASE-5598,Consultation,2023-10-14 07:34:57,92325,AMZN,N/A,4392.44
CASE-1953,Consultation,2023-09-23 08:26:42,86725,TSLA,N/A,2023.04
CASE-1212,Consultation,2023-10-27 13:33:32,41161,AMZN,N/A,3858.32
CASE-3132,Buy Stock,2023-05-03 20:08:20,97197,AAPL,N/A,1470.14
CASE-6752,Dividend Received,2023-08-27 21:12:18,51883,AMZN,N/A,2999.03
CASE-2040,Dividend Received,2023-05-21 21:15:39,85763,AAPL,N/A,701.77
CASE-9368,Sell Stock,2023-09-04 11:02:15,35427,TSLA,N/A,2425.93
CASE-6885,Tax Calculation,2023-05-19 08:44:17,44995,TSLA,N/A,2566.22
CASE-3159,Dividend Received,2023-07-27 05:05:20,38798,MSFT,N/A,4782.55
CASE-3300,Portfolio Review,2023-02-14 05:22:01,80973,AMZN,N/A,2391.62
CASE-8750,Tax Calculation,2023-06-14 06:44:16,66617,TSLA,N/A,982.88
CASE-9496,Tax Calculation,2023-04-06 04:42:31,52515,AAPL,N/A,684.18
CASE-5561,Consultation,2023-02-11 15:49:51,42393,GOOGL,N/A,39.23
CASE-8781,Portfolio Review,2023-07-15 15:35:38,97634,AMZN,N/A,4345.82
CASE-4481,Tax Calculation,2023-04-15 06:47:14,89879,AAPL,N/A,2699.63
CASE-2657,Consultation,2023-06-11 16:21:08,22239,GOOGL,N/A,3200.52
CASE-7528,Portfolio Review,2023-06-27 18:54:10,36595,TSLA,N/A,4041.25
CASE-3121,Portfolio Review,2023-09-29 03:15:03,31344,GOOGL,N/A,1538.53
CASE-5371,Tax Calculation,2023-08-31 16:34:18,29575,GOOGL,N/A,103.3
CASE-5630,Sell Stock,2023-03-02 05:01:19,72314,GOOGL,N/A,599.92
CASE-9554,Tax Calculation,2023-09-13 18:04:20,21641,AAPL,N/A,3346.11
CASE-1944,Tax Calculation,2023-10-25 05:20:29,11535,AMZN,N/A,208.59
CASE-2751,Tax Calculation,2023-05-25 09:24:03,24696,AMZN,N/A,3539.41
CASE-2408,Sell Stock,2023-04-16 17:49:18,72734,TSLA,N/A,4525.13
CASE-2456,Portfolio Review,2023-03-31 10:44:53,64649,MSFT,N/A,4196.02
CASE-3712,Sell Stock,2023-08-25 20:51:13,95743,GOOGL,N/A,3675.47
CASE-3112,Buy Stock,2023-03-18 19:55:33,62144,AAPL,N/A,4424.46
CASE-4615,Portfolio Review,2023-10-04 15:43:50,10996,GOOGL,N/A,304.77
CASE-3555,Portfolio Review,2023-05-06 17:28:38,53613,AMZN,N/A,4795.04
CASE-7129,Sell Stock,2023-04-27 03:20:33,48887,AAPL,N/A,888.82
CASE-2287,Portfolio Review,2023-06-07 10:46:36,90822,TSLA,N/A,480.85
CASE-4706,Consultation,2023-06-29 10:29:37,54318,MSFT,N/A,4513.55
CASE-4682,Tax Calculation,2023-09-27 18:27:31,22396,TSLA,N/A,437.73
CASE-8962,Tax Calculation,2023-03-13 17:45:06,66340,AAPL,N/A,3863.7
