trade_id,event_type,event_timestamp
50001,TRADE_PLACED,2026-02-15 07:52:17.718652
50002,TRADE_EXECUTED,2026-02-15 07:47:17.718652
50003,TRADE_CANCELLED,2026-02-15 07:42:17.718652
50004,TRADE_PLACED,2026-02-15 07:37:17.718652
50005,TRADE_EXECUTED,2026-02-15 07:32:17.718652
50006,TRADE_FAILED,2026-02-15 07:27:17.718652
50007,TRADE_PLACED,2026-02-15 07:22:17.718652
50008,TRADE_EXECUTED,2026-02-15 07:17:17.718652
50009,TRADE_CANCELLED,2026-02-15 07:12:17.718652
50010,TRADE_PLACED,2026-02-15 07:07:17.718652
