doctor_id,event_type,doctor_status,event_timestamp
18001,DOCTOR_ADDED,ACTIVE,2026-02-15 07:23:16.407297
18002,DOCTOR_UPDATED,ACTIVE,2026-02-15 05:23:16.407297
18003,DOCTOR_SUSPENDED,SUSPENDED,2026-02-15 03:23:16.407297
18004,DOCTOR_ADDED,ACTIVE,2026-02-15 01:23:16.407297
18005,DOCTOR_UPDATED,ACTIVE,2026-02-14 23:23:16.407297
18006,DOCTOR_ADDED,ACTIVE,2026-02-14 21:23:16.407297
18007,DOCTOR_SUSPENDED,SUSPENDED,2026-02-14 19:23:16.407297
18008,DOCTOR_UPDATED,ACTIVE,2026-02-14 17:23:16.407297
18009,DOCTOR_ADDED,ACTIVE,2026-02-14 15:23:16.407297
18010,DOCTOR_UPDATED,ACTIVE,2026-02-14 13:23:16.407297
