Case_ID,Activity,Timestamp,Policy_ID,Claim_Amount,Policy_Type
CASE-9293,Assess Damage,2023-11-25 12:15:16,16039,2762.2,Health
CASE-6251,Assess Damage,2023-12-08 06:54:55,35884,4878.85,Health
CASE-6903,Reject Claim,2023-09-20 22:12:32,91906,3992.84,Auto
CASE-2746,Reject Claim,2023-06-23 16:08:20,15386,3003.14,Home
CASE-3561,File Claim,2023-04-05 20:33:15,46885,1337.63,Auto
CASE-6421,File Claim,2023-10-24 06:20:29,67651,1040.54,Home
CASE-5885,Renew Policy,2023-05-24 21:50:10,48547,2603.8,Life
CASE-4597,Reject Claim,2023-02-05 05:18:46,33098,2650.51,Health
CASE-7306,Approve Claim,2023-02-16 19:44:04,54401,1518.76,Home
CASE-9973,Payout,2023-10-07 22:44:24,91860,775.92,Auto
CASE-6079,Payout,2023-06-09 07:54:15,89241,4685.25,Home
CASE-7847,Renew Policy,2023-12-16 00:53:28,17536,1982.38,Health
CASE-5411,Assess Damage,2023-12-06 16:37:17,13366,3643.27,Home
CASE-1433,Payout,2023-02-01 02:14:51,71314,512.19,Auto
CASE-1167,File Claim,2023-09-11 10:21:49,31360,1887.84,Life
CASE-8866,Payout,2023-07-21 15:06:01,78598,2640.86,Home
CASE-9546,Assess Damage,2023-06-19 08:27:09,15176,4582.82,Health
CASE-3367,Payout,2023-09-21 19:59:11,66343,137.57,Health
CASE-4495,Assess Damage,2023-10-13 15:55:10,49547,2350.47,Auto
CASE-1867,Assess Damage,2023-09-09 12:32:09,43747,3951.44,Auto
CASE-3886,Reject Claim,2023-11-03 14:13:51,79929,4965.33,Life
CASE-9562,Assess Damage,2023-02-21 00:18:42,34783,4709.44,Life
CASE-6802,Renew Policy,2023-01-10 08:55:37,50032,2321.12,Life
CASE-1205,Assess Damage,2023-09-28 00:29:25,57968,4416.83,Life
CASE-9330,Renew Policy,2023-08-07 23:46:40,94102,3544.99,Life
CASE-6380,Payout,2023-06-02 03:51:12,59246,2065.72,Home
CASE-6703,Reject Claim,2023-05-27 09:48:30,79821,777.83,Auto
CASE-4934,File Claim,2023-10-17 23:45:41,53178,150.1,Life
CASE-5924,Payout,2023-03-06 10:06:58,95061,1992.17,Auto
CASE-7362,Assess Damage,2023-05-09 14:34:41,62284,239.12,Auto
CASE-6872,Renew Policy,2023-08-03 14:02:01,92035,4243.59,Life
CASE-5967,File Claim,2023-02-05 07:11:53,41283,2710.27,Life
CASE-6211,Payout,2023-07-08 08:41:05,10242,4711.11,Life
CASE-7331,Assess Damage,2023-01-08 11:45:06,77088,2645.86,Home
CASE-2086,File Claim,2023-04-09 12:55:46,22149,4405.6,Auto
CASE-7851,File Claim,2023-10-21 12:21:56,65461,978.28,Home
CASE-1375,Renew Policy,2023-10-26 07:30:45,28108,438.49,Health
CASE-6268,Renew Policy,2023-07-04 17:18:18,81003,3052.21,Auto
CASE-9452,Renew Policy,2023-02-05 18:00:25,75857,505.91,Health
CASE-3509,Assess Damage,2023-01-06 04:53:57,91099,344.26,Auto
CASE-8030,Reject Claim,2023-10-07 11:31:13,88597,1031.73,Health
CASE-8754,Renew Policy,2023-06-08 07:20:46,34226,4794.25,Life
CASE-2239,File Claim,2023-07-16 03:46:00,79942,2993.7,Auto
CASE-6336,Renew Policy,2023-07-10 03:56:23,31064,4194.89,Life
CASE-9097,Renew Policy,2023-05-25 18:35:21,69048,4578.21,Life
CASE-3770,Payout,2023-10-17 04:05:08,60184,223.86,Health
CASE-7186,Renew Policy,2023-08-24 03:59:16,86504,1365.3,Life
CASE-9876,Assess Damage,2023-05-02 15:36:18,88398,2481.68,Home
CASE-9974,Renew Policy,2023-03-12 08:29:40,18608,1404.55,Auto
CASE-7239,Assess Damage,2023-06-12 19:30:29,48818,701.82,Health
CASE-4579,Approve Claim,2023-06-23 05:52:33,96924,1825.41,Home
CASE-4355,Payout,2023-06-02 15:02:10,19531,2294.32,Life
CASE-2967,Approve Claim,2023-01-23 20:05:55,33874,3218.42,Auto
