clearing_id,event_type,event_timestamp
56001,CLEARING_STARTED,2026-02-15 07:52:17.718652
56002,CLEARING_COMPLETED,2026-02-15 07:45:17.718652
56003,CLEARING_FAILED,2026-02-15 07:38:17.718652
56004,CLEARING_STARTED,2026-02-15 07:31:17.718652
56005,CLEARING_COMPLETED,2026-02-15 07:24:17.718652
56006,CLEARING_FAILED,2026-02-15 07:17:17.718652
56007,CLEARING_STARTED,2026-02-15 07:10:17.718652
56008,CLEARING_COMPLETED,2026-02-15 07:03:17.718652
56009,CLEARING_FAILED,2026-02-15 06:56:17.718652
56010,CLEARING_STARTED,2026-02-15 06:49:17.718652
