account_id,customer_id,account_type,balance,interest_rate,opened_date,status
1001,1,checking,5000.50,0.01,2020-01-15,active
1002,1,savings,40000.00,0.03,2020-01-20,active
1003,2,checking,2500.75,0.01,2020-03-22,active
1004,2,savings,30000.00,0.03,2020-04-01,active
1005,3,checking,7500.00,0.01,2019-11-10,active
1006,3,savings,60000.00,0.03,2019-11-15,active
1007,4,checking,2750.25,0.01,2021-02-05,active
1008,4,savings,10000.00,0.03,2021-02-10,active
1009,5,checking,9000.00,0.01,2019-06-18,active
1010,5,savings,80000.00,0.04,2019-06-25,active
1011,6,checking,3400.50,0.01,2020-09-12,active
1012,6,savings,20000.00,0.03,2020-09-20,active
1013,7,checking,6700.75,0.01,2020-05-30,active
1014,7,savings,50000.00,0.03,2020-06-05,active
1015,8,checking,1200.00,0.01,2021-01-20,active
1016,8,savings,40000.00,0.03,2021-01-25,active
1017,9,checking,8900.25,0.01,2019-08-25,active
1018,9,savings,70000.00,0.04,2019-09-01,active
1019,10,checking,4500.50,0.01,2020-11-08,active
1020,10,savings,30000.00,0.03,2020-11-15,active
