audit_id,client_id,account_id,event_type,module,entity_type,entity_id,action_performed,old_value,new_value,ip_address,user_agent,severity,event_timestamp,session_id,created_at
AUD000001,CLI00001,ACC000001,LOGIN,Trading,Trade,TRD0000001,User performed login on Trade,,LOGIN,126.152.72.143,Mozilla/5.0 Firefox,INFO,2026-01-07 11:54:43,SES919537120,2026-01-07 11:54:43
AUD000002,CLI00002,ACC000002,LOGOUT,Accounts,Account,ACC000002,User performed logout on Account,,LOGOUT,242.14.91.75,Safari/537,WARNING,2025-12-11 11:54:43,SES929449859,2025-12-11 11:54:43
AUD000003,CLI00003,ACC000003,TRADE_PLACED,Portfolio,Portfolio,PRT00003,User performed trade placed on Portfolio,,TRADE_PLACED,161.185.245.58,Safari/537,ERROR,2025-11-04 11:54:43,SES352029861,2025-11-04 11:54:43
AUD000004,CLI00004,ACC000004,TRADE_MODIFIED,Invoicing,Invoice,INV000004,User performed trade modified on Invoice,status=PENDING,status=COMPLETED,43.186.138.148,Mozilla/5.0 Chrome,CRITICAL,2025-12-24 11:54:43,SES886404661,2025-12-24 11:54:43
AUD000005,CLI00005,ACC000005,TRADE_CANCELLED,Expense,Expense,EXP000005,User performed trade cancelled on Expense,,TRADE_CANCELLED,150.197.74.234,PostmanRuntime,DEBUG,2026-02-12 11:54:43,SES901014474,2026-02-12 11:54:43
AUD000006,CLI00006,ACC000006,PAYMENT_MADE,Budget,Budget,BDG00006,User performed payment made on Budget,,PAYMENT_MADE,43.165.113.240,Python-requests,INFO,2025-11-17 11:54:43,SES829988666,2025-11-17 11:54:43
AUD000007,CLI00007,ACC000007,INVOICE_GENERATED,Tax,TaxRecord,TAX00007,User performed invoice generated on TaxRecord,,INVOICE_GENERATED,250.94.66.129,Mozilla/5.0 Chrome,WARNING,2025-10-02 11:54:43,SES118748689,2025-10-02 11:54:43
AUD000008,CLI00008,ACC000008,BUDGET_APPROVED,Compliance,Client,CLI00008,User performed budget approved on Client,,BUDGET_APPROVED,180.33.46.235,Mozilla/5.0 Chrome,ERROR,2026-01-24 11:54:43,SES307039735,2026-01-24 11:54:43
AUD000009,CLI00009,ACC000009,TAX_FILED,Auth,Instrument,INS00009,User performed tax filed on Instrument,,TAX_FILED,71.170.114.222,Python-requests,CRITICAL,2025-12-13 11:54:43,SES705258630,2025-12-13 11:54:43
AUD000010,CLI00010,ACC000010,PROFILE_UPDATED,Reports,Payment,INV000010,User performed profile updated on Payment,status=PENDING,status=COMPLETED,174.125.40.89,Safari/537,DEBUG,2025-09-29 11:54:43,SES796451796,2025-09-29 11:54:43
AUD000011,CLI00011,ACC000011,PASSWORD_CHANGED,Trading,Trade,TRD0000011,User performed password changed on Trade,,PASSWORD_CHANGED,87.138.198.119,PostmanRuntime,INFO,2025-10-25 11:54:43,SES912100095,2025-10-25 11:54:43
AUD000012,CLI00012,ACC000012,DOCUMENT_UPLOADED,Accounts,Account,ACC000012,User performed document uploaded on Account,,DOCUMENT_UPLOADED,36.31.51.6,Python-requests,WARNING,2025-11-28 11:54:43,SES535435383,2025-11-28 11:54:43
AUD000013,CLI00013,ACC000013,PORTFOLIO_REBALANCED,Portfolio,Portfolio,PRT00013,User performed portfolio rebalanced on Portfolio,,PORTFOLIO_REBALANCED,148.134.164.125,Safari/537,ERROR,2025-10-30 11:54:43,SES525637387,2025-10-30 11:54:43
AUD000014,CLI00014,ACC000014,ACCOUNT_OPENED,Invoicing,Invoice,INV000014,User performed account opened on Invoice,,ACCOUNT_OPENED,241.139.239.206,Python-requests,CRITICAL,2025-11-11 11:54:43,SES602816855,2025-11-11 11:54:43
AUD000015,CLI00015,ACC000015,ACCOUNT_CLOSED,Expense,Expense,EXP000015,User performed account closed on Expense,,ACCOUNT_CLOSED,76.70.119.107,Python-requests,DEBUG,2025-12-14 11:54:43,SES581162811,2025-12-14 11:54:43
AUD000016,CLI00016,ACC000016,KYC_SUBMITTED,Budget,Budget,BDG00016,User performed kyc submitted on Budget,,KYC_SUBMITTED,37.120.108.39,Mozilla/5.0 Firefox,INFO,2025-10-10 11:54:43,SES966359535,2025-10-10 11:54:43
AUD000017,CLI00017,ACC000017,KYC_VERIFIED,Tax,TaxRecord,TAX00017,User performed kyc verified on TaxRecord,,KYC_VERIFIED,136.138.240.95,Mozilla/5.0 Firefox,WARNING,2025-11-10 11:54:43,SES998928541,2025-11-10 11:54:43
AUD000018,CLI00018,ACC000018,REPORT_DOWNLOADED,Compliance,Client,CLI00018,User performed report downloaded on Client,,REPORT_DOWNLOADED,242.209.196.10,Safari/537,ERROR,2026-01-06 11:54:43,SES798699665,2026-01-06 11:54:43
AUD000019,CLI00019,ACC000019,ALERT_TRIGGERED,Auth,Instrument,INS00019,User performed alert triggered on Instrument,,ALERT_TRIGGERED,59.81.135.69,Mozilla/5.0 Chrome,CRITICAL,2025-08-26 11:54:43,SES321358740,2025-08-26 11:54:43
AUD000020,CLI00020,ACC000020,EXPENSE_APPROVED,Reports,Payment,INV000020,User performed expense approved on Payment,,EXPENSE_APPROVED,179.89.151.153,PostmanRuntime,DEBUG,2025-12-06 11:54:43,SES140502181,2025-12-06 11:54:43
