audit_id,customer_id,account_id,txn_id,staff_id,branch_id,entity_type,entity_id,event_type,module,action_performed,old_value,new_value,ip_address,device_type,browser,channel,session_id,severity,is_success,failure_reason,login_at,logout_at,session_duration_secs,event_timestamp,processing_ms,created_at
AUD0000001,CUST00001,ACC000001,TXN00000001,STF00001,BR0001,Customer,CUST00001,CUSTOMER_LOGIN,AuthService,Customer Login on Customer CUST00001,amount=5000,stage=COMPLETED,151.73.18.99,Mobile App,Chrome 121,Net Banking,SES72295303164,INFO,FALSE,Session Expired,2025-11-15 13:00:36,2025-11-15 16:31:36,1782,2025-11-15 13:07:00,9058,2025-11-15 13:07:00
AUD0000002,CUST00002,ACC000002,TXN00000002,STF00002,BR0002,Account,ACC000002,CUSTOMER_LOGOUT,AccountService,Customer Logout on Account ACC000002,,stage=COMPLETED,213.252.86.143,Web Browser,Firefox 122,Mobile Banking,SES61277393662,INFO,TRUE,,2025-12-07 13:00:36,2025-12-07 18:24:36,4516,2025-12-07 13:02:47,2413,2025-12-07 13:02:47
AUD0000003,CUST00003,ACC000003,TXN00000003,STF00003,BR0003,Transaction,TXN00000003,ACCOUNT_OPENED,TransactionEngine,Account Opened on Transaction TXN00000003,status=ACTIVE,status=CLOSED,45.182.85.206,ATM Terminal,Safari 17,Branch Counter,SES80754192378,INFO,TRUE,,2025-12-28 13:00:36,2025-12-28 18:13:36,13452,2025-12-28 13:09:27,7537,2025-12-28 13:09:27
AUD0000004,CUST00004,ACC000004,TXN00000004,STF00004,BR0004,Loan,LN000004,ACCOUNT_FROZEN,LoanService,Account Frozen on Loan LN000004,stage=PENDING,amount=10000,110.253.157.190,POS Device,Edge 121,ATM,SES52273653396,WARNING,TRUE,,2026-01-09 13:00:36,2026-01-09 18:15:36,4880,2026-01-09 13:09:33,9777,2026-01-09 13:09:33
AUD0000005,CUST00005,ACC000005,TXN00000005,STF00005,BR0005,Card,CRD00005,ACCOUNT_UNFROZEN,CardService,Account Unfrozen on Card CRD00005,stage=PENDING,ACCOUNT_UNFROZEN,218.4.94.85,Branch Terminal,Mobile Chrome,API Gateway,SES25778878332,ERROR,FALSE,,2025-11-22 13:00:36,2025-11-22 17:24:36,17743,2025-11-22 13:09:27,6874,2025-11-22 13:09:27
AUD0000006,CUST00006,ACC000006,TXN00000006,STF00006,BR0006,FixedDeposit,FD000006,TRANSACTION_INITIATED,FDService,Transaction Initiated on FixedDeposit FD000006,amount=5000,status=CLOSED,159.122.43.135,API,Mobile Safari,UPI,SES65152392860,CRITICAL,FALSE,Network Error,2025-09-20 13:00:36,2025-09-20 15:42:36,19859,2025-09-20 13:01:13,2471,2025-09-20 13:01:13
AUD0000007,CUST00007,ACC000007,TXN00000007,STF00007,BR0007,Beneficiary,BEN000007,TRANSACTION_SUCCESS,BeneficiaryService,Transaction Success on Beneficiary BEN000007,amount=5000,status=CLOSED,122.80.107.39,USSD,N/A,WhatsApp Banking,SES66710282950,INFO,TRUE,,2025-08-26 13:00:36,2025-08-26 15:09:36,19061,2025-08-26 13:01:18,8271,2025-08-26 13:01:18
AUD0000008,CUST00008,ACC000008,TXN00000008,STF00008,BR0008,Customer,CUST00008,TRANSACTION_FAILED,KYCService,Transaction Failed on Customer CUST00008,stage=PENDING,TRANSACTION_FAILED,144.96.80.245,Mobile App,Chrome 121,Net Banking,SES70873354999,INFO,TRUE,,2025-09-13 13:00:36,2025-09-13 17:06:36,4824,2025-09-13 13:01:49,8784,2025-09-13 13:01:49
AUD0000009,CUST00009,ACC000009,TXN00000009,STF00009,BR0009,Account,ACC000009,TRANSACTION_REVERSED,NotificationService,Transaction Reversed on Account ACC000009,,amount=10000,73.71.142.77,Web Browser,Firefox 122,Mobile Banking,SES77452410971,INFO,TRUE,,2025-11-21 13:00:36,2025-11-21 17:44:36,21379,2025-11-21 13:06:48,5244,2025-11-21 13:06:48
AUD0000010,CUST00010,ACC000010,TXN00000010,STF00010,BR0010,Transaction,TXN00000010,FUND_TRANSFER_NEFT,AuditService,Fund Transfer Neft on Transaction TXN00000010,status=ACTIVE,FUND_TRANSFER_NEFT,239.250.101.210,ATM Terminal,Safari 17,Branch Counter,SES49283815829,WARNING,TRUE,,2025-10-17 13:00:36,2025-10-17 16:03:36,9260,2025-10-17 13:10:19,739,2025-10-17 13:10:19
AUD0000011,CUST00011,ACC000011,TXN00000011,STF00011,BR0011,Loan,LN000011,FUND_TRANSFER_RTGS,AuthService,Fund Transfer Rtgs on Loan LN000011,,amount=10000,61.211.137.70,POS Device,Edge 121,ATM,SES87021751298,ERROR,TRUE,,2025-12-05 13:00:36,2025-12-05 13:45:36,14795,2025-12-05 13:06:40,4500,2025-12-05 13:06:40
AUD0000012,CUST00012,ACC000012,TXN00000012,STF00012,BR0012,Card,CRD00012,FUND_TRANSFER_IMPS,AccountService,Fund Transfer Imps on Card CRD00012,amount=5000,amount=10000,23.25.105.85,Branch Terminal,Mobile Chrome,API Gateway,SES77505538841,CRITICAL,TRUE,,2026-01-12 13:00:36,2026-01-12 14:00:36,8244,2026-01-12 13:04:51,1697,2026-01-12 13:04:51
AUD0000013,CUST00013,ACC000013,TXN00000013,STF00013,BR0013,FixedDeposit,FD000013,UPI_PAYMENT,TransactionEngine,Upi Payment on FixedDeposit FD000013,,UPI_PAYMENT,132.166.51.194,API,Mobile Safari,UPI,SES52794684952,INFO,TRUE,,2025-08-26 13:00:36,2025-08-26 14:15:36,18333,2025-08-26 13:00:51,5312,2025-08-26 13:00:51
AUD0000014,CUST00014,ACC000014,TXN00000014,STF00014,BR0014,Beneficiary,BEN000014,LOAN_APPLIED,LoanService,Loan Applied on Beneficiary BEN000014,status=ACTIVE,amount=10000,116.225.214.46,USSD,N/A,WhatsApp Banking,SES65131072929,INFO,TRUE,,2025-12-05 13:00:36,2025-12-05 18:35:36,3231,2025-12-05 13:01:46,8166,2025-12-05 13:01:46
AUD0000015,CUST00015,ACC000015,TXN00000015,STF00015,BR0015,Customer,CUST00015,LOAN_SANCTIONED,CardService,Loan Sanctioned on Customer CUST00015,status=ACTIVE,stage=COMPLETED,82.116.253.165,Mobile App,Chrome 121,Net Banking,SES81052934548,INFO,TRUE,,2025-12-31 13:00:36,2025-12-31 15:33:36,603,2025-12-31 13:01:24,8142,2025-12-31 13:01:24
AUD0000016,CUST00016,ACC000016,TXN00000016,STF00016,BR0016,Account,ACC000016,LOAN_DISBURSED,FDService,Loan Disbursed on Account ACC000016,status=ACTIVE,stage=COMPLETED,51.187.117.166,Web Browser,Firefox 122,Mobile Banking,SES10799718923,WARNING,TRUE,,2026-01-13 13:00:36,2026-01-13 17:23:36,9240,2026-01-13 13:08:45,5573,2026-01-13 13:08:45
AUD0000017,CUST00017,ACC000017,TXN00000017,STF00017,BR0017,Transaction,TXN00000017,LOAN_CLOSED,BeneficiaryService,Loan Closed on Transaction TXN00000017,stage=PENDING,status=CLOSED,112.171.24.48,ATM Terminal,Safari 17,Branch Counter,SES31396174986,ERROR,FALSE,Insufficient Balance,2025-12-03 13:00:36,2025-12-03 17:55:36,6050,2025-12-03 13:04:03,7872,2025-12-03 13:04:03
AUD0000018,CUST00018,ACC000018,TXN00000018,STF00018,BR0018,Loan,LN000018,EMI_DEBITED,KYCService,Emi Debited on Loan LN000018,,stage=COMPLETED,254.84.77.150,POS Device,Edge 121,ATM,SES90414168139,CRITICAL,FALSE,Invalid OTP,2025-11-26 13:00:36,2025-11-26 15:12:36,8845,2025-11-26 13:00:52,237,2025-11-26 13:00:52
AUD0000019,CUST00019,ACC000019,TXN00000019,STF00019,BR0019,Card,CRD00019,CARD_BLOCKED,NotificationService,Card Blocked on Card CRD00019,status=ACTIVE,CARD_BLOCKED,88.40.103.176,Branch Terminal,Mobile Chrome,API Gateway,SES96403642694,INFO,TRUE,,2025-12-12 13:00:36,2025-12-12 18:39:36,8043,2025-12-12 13:06:54,4883,2025-12-12 13:06:54
AUD0000020,CUST00020,ACC000020,TXN00000020,STF00020,BR0020,FixedDeposit,FD000020,CARD_UNBLOCKED,AuditService,Card Unblocked on FixedDeposit FD000020,,amount=10000,126.191.253.156,API,Mobile Safari,UPI,SES67439281322,INFO,TRUE,,2025-11-14 13:00:36,2025-11-14 18:19:36,7480,2025-11-14 13:04:32,9048,2025-11-14 13:04:32
