loan_id,customer_id,account_id,branch_id,disbursed_to_account_id,loan_type,loan_purpose,principal_inr,interest_rate_pct,tenure_months,emi_inr,outstanding_inr,total_interest_payable,loan_status,collateral_type,collateral_value_inr,applied_at,sanctioned_at,disbursed_at,next_emi_date,last_payment_at,closed_at,created_at,updated_at
LN000001,CUST00001,ACC000001,BR0001,ACC000002,Home Loan,Home Purchase,4419576.81,12.39,60,99184.27,3004252.93,1531479.39,Written Off,Property,7062645.77,2023-08-09 13:00:36,2023-08-18 13:00:36,2023-08-27 13:00:36,2026-03-03,2026-02-10 13:00:36,,2023-08-09 13:00:36,2023-10-04 13:00:36
LN000002,CUST00002,ACC000002,BR0002,ACC000003,Personal Loan,Medical Emergency,7358612.54,13.94,12,660500.89,972765.88,567398.14,Sanctioned,Gold,11598990.83,2021-05-08 13:00:36,2021-05-22 13:00:36,2021-06-01 13:00:36,2026-02-17,2026-01-29 13:00:36,,2021-05-08 13:00:36,2021-08-14 13:00:36
LN000003,CUST00003,ACC000003,BR0003,ACC000004,Car Loan,Vehicle Purchase,7574874.86,12.41,180,92918.8,6623966.8,9150509.14,Pre-Closed,Fixed Deposit,11135144.78,2024-02-11 13:00:36,2024-02-21 13:00:36,2024-02-28 13:00:36,2026-03-15,2026-01-15 13:00:36,2026-01-26 13:00:36,2024-02-11 13:00:36,2024-04-04 13:00:36
LN000004,CUST00004,ACC000004,BR0004,ACC000005,Education Loan,Higher Education,3366418.52,14.71,36,116220.49,1167552.37,817519.12,Pre-Closed,Shares,3662864.64,2021-03-29 13:00:36,2021-04-06 13:00:36,2021-04-11 13:00:36,2026-03-01,2026-02-13 13:00:36,2025-12-10 13:00:36,2021-03-29 13:00:36,2021-05-01 13:00:36
LN000005,CUST00005,ACC000005,BR0005,ACC000006,Business Loan,Business Expansion,3266574.17,18.16,120,59195.73,2706093.82,3836913.43,Written Off,Vehicle,3879326.45,2025-02-14 13:00:36,2025-02-25 13:00:36,2025-03-06 13:00:36,2026-03-02,2026-02-12 13:00:36,,2025-02-14 13:00:36,2025-04-02 13:00:36
LN000006,CUST00006,ACC000006,BR0006,ACC000007,Gold Loan,Gold Pledge,6245207.03,12.73,180,77910.73,4583928.77,7778724.37,Closed,None,11746276.52,2023-12-28 13:00:36,2024-01-02 13:00:36,2024-01-11 13:00:36,2026-03-18,2026-01-28 13:00:36,2025-12-12 13:00:36,2023-12-28 13:00:36,2024-02-29 13:00:36
LN000007,CUST00007,ACC000007,BR0007,ACC000008,Mortgage,Property Mortgage,1258189.53,18.19,48,37084.35,866646.66,521859.27,Sanctioned,Machinery,1540905.55,2023-05-22 13:00:36,2023-05-31 13:00:36,2023-06-01 13:00:36,2026-03-02,2026-02-10 13:00:36,,2023-05-22 13:00:36,2023-06-06 13:00:36
LN000008,CUST00008,ACC000008,BR0008,ACC000009,Overdraft,Working Capital,4641406.55,8.35,36,146195.39,2313917.33,621627.49,Written Off,Inventory,9191120.41,2023-06-30 13:00:36,2023-07-09 13:00:36,2023-07-14 13:00:36,2026-03-15,2026-01-16 13:00:36,,2023-06-30 13:00:36,2023-08-01 13:00:36
LN000009,CUST00009,ACC000009,BR0009,ACC000010,Two Wheeler Loan,Bike Purchase,4595025.4,8.66,48,113607.0,4042158.08,858110.6,Active,Land,6156760.77,2022-04-13 13:00:36,2022-04-25 13:00:36,2022-04-28 13:00:36,2026-02-25,2026-01-20 13:00:36,,2022-04-13 13:00:36,2022-06-17 13:00:36
LN000010,CUST00010,ACC000010,BR0010,ACC000011,Agriculture Loan,Crop Production,2708368.0,7.03,60,53667.28,2176792.09,511668.8,Closed,Guarantor,3643090.64,2021-11-17 13:00:36,2021-11-28 13:00:36,2021-12-06 13:00:36,2026-03-03,2026-01-12 13:00:36,2025-12-07 13:00:36,2021-11-17 13:00:36,2022-01-27 13:00:36
