transaction_id,account_id,transaction_type,amount,transaction_time
T001,ACC001,CREDIT,10000,2026-02-01 09:15:00
T002,ACC001,DEBIT,2000,2026-02-01 09:20:00
T003,ACC002,CREDIT,50000,2026-02-01 22:30:00
T004,ACC003,DEBIT,5000,2026-02-01 11:00:00
T005,ACC002,CREDIT,20000,2026-02-02 23:10:00
T006,ACC004,CREDIT,75000,2026-02-02 01:30:00
T007,ACC005,DEBIT,3000,2026-02-02 18:45:00
T008,ACC001,CREDIT,15000,2026-02-02 08:50:00
T009,ACC003,CREDIT,12000,2026-02-02 21:15:00
T010,ACC004,DEBIT,10000,2026-02-02 10:05:00
