CLM_ID,POL_ID,LOSS_DT,RPT_DT,CLM_STAT_CD,LOSS_DESC,PAID_AMT,RSV_AMT
C55001,P9000101,20180515,20180516,C,WIND DAMAGE ROOF,004500.00,000000.00
C55002,P9000102,20201120,20201121,C,MINOR FENDER BENDER,000850.00,000000.00
C55003,P9000104,20210610,20210612,C,HAIL DAMAGE,002100.00,000000.00
C55004,P9000107,20230315,20230315,O,MULTI CAR COLLISION,015000.00,025000.00
C55005,P9000108,20190105,20190106,C,SLIP AND FALL,012000.00,000000.00
C55006,P9000108,20220814,20220815,C,WATER PIPE BURST,008000.00,000000.00
C55007,P9000111,20150410,20150415,C,DEATH CLAIM,500000.00,000000.00
C55008,P9000112,20230601,20230602,O,SINGLE CAR ACCIDENT,005000.00,010000.00
C55009,P9000101,20230704,20230705,O,TREE FALL ON GARAGE,001200.00,003000.00
C55010,P9000117,20230820,20230821,O,BACK INJURY WAREHOUSE,002500.00,015000.00
