agent_id,policy_id,event_type,agent_status,event_timestamp
9001,6001,AGENT_ASSIGNED,ACTIVE,2026-02-15 07:19:58.408708
9002,6002,AGENT_CHANGED,ACTIVE,2026-02-15 04:19:58.408708
9003,6003,AGENT_ASSIGNED,ACTIVE,2026-02-15 01:19:58.408708
9004,6004,AGENT_ASSIGNED,ACTIVE,2026-02-14 22:19:58.408708
9005,6005,AGENT_CHANGED,ACTIVE,2026-02-14 19:19:58.408708
9006,6006,AGENT_ASSIGNED,ACTIVE,2026-02-14 16:19:58.408708
9007,6007,AGENT_ASSIGNED,ACTIVE,2026-02-14 13:19:58.408708
9008,6008,AGENT_CHANGED,ACTIVE,2026-02-14 10:19:58.408708
9009,6009,AGENT_ASSIGNED,ACTIVE,2026-02-14 07:19:58.408708
9010,6010,AGENT_ASSIGNED,ACTIVE,2026-02-14 04:19:58.408708
