bill_id,policy_id,event_type,amount,event_timestamp
13001,6001,BILL_GENERATED,5000,2026-02-15 07:19:58.408708
13002,6002,BILL_PAID,6000,2026-02-15 02:19:58.408708
13003,6003,BILL_OVERDUE,5500,2026-02-14 21:19:58.408708
13004,6004,BILL_PAID,7000,2026-02-14 16:19:58.408708
13005,6005,BILL_GENERATED,6500,2026-02-14 11:19:58.408708
13006,6006,BILL_PAID,6000,2026-02-14 06:19:58.408708
13007,6007,BILL_OVERDUE,7200,2026-02-14 01:19:58.408708
13008,6008,BILL_PAID,5400,2026-02-13 20:19:58.408708
13009,6009,BILL_GENERATED,6800,2026-02-13 15:19:58.408708
13010,6010,BILL_PAID,5900,2026-02-13 10:19:58.408708
