endorsement_id,policy_id,event_type,event_timestamp
11001,6001,ENDORSEMENT_ADDED,2026-02-15 07:19:58.408708
11002,6002,ENDORSEMENT_UPDATED,2026-02-15 03:19:58.408708
11003,6003,ENDORSEMENT_REMOVED,2026-02-14 23:19:58.408708
11004,6004,ENDORSEMENT_ADDED,2026-02-14 19:19:58.408708
11005,6005,ENDORSEMENT_UPDATED,2026-02-14 15:19:58.408708
11006,6006,ENDORSEMENT_ADDED,2026-02-14 11:19:58.408708
11007,6007,ENDORSEMENT_REMOVED,2026-02-14 07:19:58.408708
11008,6008,ENDORSEMENT_UPDATED,2026-02-14 03:19:58.408708
11009,6009,ENDORSEMENT_ADDED,2026-02-13 23:19:58.408708
11010,6010,ENDORSEMENT_UPDATED,2026-02-13 19:19:58.408708
