fraud_id,policy_id,event_type,event_timestamp
15001,6001,FRAUD_SUSPECTED,2026-02-15 07:19:58.408708
15002,6002,FRAUD_CONFIRMED,2026-02-12 07:19:58.408708
15003,6003,FRAUD_CLEARED,2026-02-09 07:19:58.408708
15004,6004,FRAUD_SUSPECTED,2026-02-06 07:19:58.408708
15005,6005,FRAUD_CONFIRMED,2026-02-03 07:19:58.408708
15006,6006,FRAUD_CLEARED,2026-01-31 07:19:58.408708
15007,6007,FRAUD_SUSPECTED,2026-01-28 07:19:58.408708
15008,6008,FRAUD_CONFIRMED,2026-01-25 07:19:58.408708
15009,6009,FRAUD_CLEARED,2026-01-22 07:19:58.408708
15010,6010,FRAUD_SUSPECTED,2026-01-19 07:19:58.408708
