account_id,customer_id,account_type,account_status,balance,created_date,branch
ACC001,CUST001,SAVINGS,ACTIVE,50000,2026-01-10,Chennai
ACC002,CUST002,SALARY,BLOCKED,30000,2025-12-15,Madurai
ACC003,CUST003,CURRENT,ACTIVE,150000,2026-01-20,Coimbatore
ACC004,CUST004,LOAN,PENDING,100000,2026-01-25,Chennai
ACC005,CUST005,SAVINGS,CLOSED,0,2025-11-30,Madurai
ACC006,CUST006,SALARY,ACTIVE,75000,2026-01-05,Chennai
ACC007,CUST007,CURRENT,BLOCKED,120000,2026-01-18,Coimbatore
ACC008,CUST008,SAVINGS,ACTIVE,40000,2026-01-28,Chennai
ACC009,CUST009,LOAN,ACTIVE,50000,2026-01-29,Coimbatore
ACC010,CUST010,SAVINGS,CLOSED,0,2025-12-05,Madurai
