job_id,department_id,job_title,job_code,job_band,employment_type,min_salary,max_salary,required_experience_years,required_education,is_remote_eligible,open_positions,job_status,created_at,updated_at
JOB0001,DEPT001,Software Engineer,JC0001,L1,Full-Time,733097.15,1459028.34,4,Bachelor's,No,1,On Hold,2024-07-20 12:45:53,2025-12-15 12:45:53
JOB0002,DEPT002,Senior Software Engineer,JC0002,L2,Part-Time,826052.28,1575085.82,2,Master's,Yes,2,On Hold,2025-05-10 12:45:53,2026-01-25 12:45:53
JOB0003,DEPT003,HR Manager,JC0003,L3,Contract,590159.5,1000436.38,15,PhD,No,7,On Hold,2024-12-23 12:45:53,2026-02-16 12:45:53
JOB0004,DEPT004,Financial Analyst,JC0004,L4,Intern,316390.65,511911.91,10,MBA,Yes,5,On Hold,2024-12-20 12:45:53,2026-01-08 12:45:53
JOB0005,DEPT005,Operations Executive,JC0005,L5,Consultant,729996.55,1987900.5,15,Diploma,No,9,Filled,2024-11-05 12:45:53,2026-01-13 12:45:53
JOB0006,DEPT006,Sales Manager,JC0006,L6,Freelancer,457118.86,714673.52,5,Any Graduate,No,0,On Hold,2025-05-28 12:45:53,2026-02-02 12:45:53
JOB0007,DEPT007,Marketing Specialist,JC0007,L7,Full-Time,874863.16,1558680.69,12,Professional Certification,No,3,Filled,2025-07-09 12:45:53,2026-01-17 12:45:53
JOB0008,DEPT008,Customer Support Lead,JC0008,L8,Part-Time,770806.47,1305493.93,5,Bachelor's,No,9,Open,2024-03-29 12:45:53,2026-01-23 12:45:53
JOB0009,DEPT009,Legal Advisor,JC0009,L9,Contract,845581.32,2375989.23,13,Master's,No,4,Filled,2024-10-06 12:45:53,2025-11-28 12:45:53
JOB0010,DEPT010,R&D Scientist,JC0010,L10,Intern,604493.81,1439505.89,12,PhD,No,7,Filled,2025-05-12 12:45:53,2025-12-31 12:45:53
JOB0011,DEPT011,Data Analyst,JC0011,L1,Consultant,837951.02,1455845.63,6,MBA,Yes,1,Closed,2025-02-10 12:45:53,2025-12-29 12:45:53
JOB0012,DEPT012,Product Manager,JC0012,L2,Freelancer,530646.6,1521327.84,13,Diploma,Yes,3,Open,2025-04-04 12:45:53,2025-12-12 12:45:53
JOB0013,DEPT013,Business Analyst,JC0013,L3,Full-Time,589941.55,1014950.01,2,Any Graduate,No,1,Filled,2024-07-25 12:45:53,2026-02-16 12:45:53
JOB0014,DEPT014,Quality Engineer,JC0014,L4,Part-Time,710854.0,1909163.42,14,Professional Certification,No,3,On Hold,2025-02-17 12:45:53,2025-12-09 12:45:53
JOB0015,DEPT015,DevOps Engineer,JC0015,L5,Contract,986445.36,2120007.65,14,Bachelor's,Yes,6,On Hold,2025-08-06 12:45:53,2026-01-09 12:45:53
JOB0016,DEPT016,Security Analyst,JC0016,L6,Intern,418302.01,930836.94,0,Master's,No,4,Closed,2024-10-11 12:45:53,2025-12-21 12:45:53
JOB0017,DEPT017,Training Coordinator,JC0017,L7,Consultant,327588.52,963860.43,8,PhD,No,8,On Hold,2024-08-26 12:45:53,2025-11-20 12:45:53
JOB0018,DEPT018,Payroll Specialist,JC0018,L8,Freelancer,383479.56,593051.46,10,MBA,Yes,8,On Hold,2024-09-18 12:45:53,2025-11-25 12:45:53
JOB0019,DEPT019,Recruitment Specialist,JC0019,L9,Full-Time,483699.54,746452.4,3,Diploma,Yes,8,Closed,2025-07-20 12:45:53,2026-01-11 12:45:53
JOB0020,DEPT020,Chief Executive Officer,JC0020,L10,Part-Time,343702.43,730850.58,10,Any Graduate,No,1,Filled,2024-03-15 12:45:53,2025-11-23 12:45:53
