TransactionID,AccountID,TransactionType,Amount,TransactionDate
TXN001,ACC001,Deposit,20000.00,2024-01-17 10:15:30
TXN002,ACC002,Withdrawal,5000.00,2024-02-14 11:20:45
TXN003,ACC003,Deposit,15000.00,2024-01-22 12:30:10
TXN004,ACC004,Withdrawal,10000.00,2024-03-07 14:40:25
TXN005,ACC005,Deposit,25000.00,2024-03-01 15:50:40
TXN006,ACC006,Withdrawal,12000.00,2024-03-17 16:05:55
TXN007,ACC007,Deposit,8000.00,2024-02-01 09:10:20
TXN008,ACC008,Withdrawal,15000.00,2024-02-07 10:25:35
TXN009,ACC009,Deposit,18000.00,2024-03-12 11:40:50
TXN010,ACC010,Withdrawal,20000.00,2024-03-14 12:55:05
