event_id,customer_id,order_id,store_id,entity_type,entity_id,event_type,module,action_description,old_status,new_status,channel,device_type,ip_address,session_id,severity,event_timestamp,processing_duration_ms,created_at
EVT0000001,CUST00001,ORD00000001,STR0001,Customer,CUST00001,CUSTOMER_REGISTERED,CustomerService,Customer Registered triggered for Customer CUST00001,ACTIVE,CONFIRMED,Online,Mobile,20.64.221.131,SES967082124,CRITICAL,2025-09-03 12:08:37,241,2025-09-03 12:08:37
EVT0000002,CUST00002,ORD00000002,STR0002,Order,ORD00000002,CUSTOMER_LOGIN,ProductCatalog,Customer Login triggered for Order ORD00000002,PROCESSING,UPDATED,In-Store,Desktop,222.40.114.57,SES896256406,INFO,2026-01-12 12:08:37,3457,2026-01-12 12:08:37
EVT0000003,CUST00003,ORD00000003,STR0003,Product,PRD000003,CUSTOMER_LOGOUT,OrderManagement,Customer Logout triggered for Product PRD000003,PENDING,COMPLETED,Mobile App,Tablet,58.73.180.127,SES904888492,WARNING,2025-10-03 12:08:37,4815,2025-10-03 12:08:37
EVT0000004,CUST00004,ORD00000004,STR0004,Inventory,INV000004,PRODUCT_VIEWED,InventoryService,Product Viewed triggered for Inventory INV000004,PENDING,COMPLETED,WhatsApp,POS Terminal,136.174.53.120,SES102175219,DEBUG,2025-11-24 12:08:37,3970,2025-11-24 12:08:37
EVT0000005,CUST00005,ORD00000005,STR0005,Shipment,SHP0000005,PRODUCT_ADDED_TO_CART,PaymentGateway,Product Added To Cart triggered for Shipment SHP0000005,OPEN,UPDATED,Phone,Scanner,3.62.22.246,SES844089510,INFO,2025-10-13 12:08:37,1440,2025-10-13 12:08:37
EVT0000006,CUST00006,ORD00000006,STR0006,Return,RET000006,PRODUCT_REMOVED_FROM_CART,ShippingService,Product Removed From Cart triggered for Return RET000006,PENDING,DELIVERED,Online,Kiosk,237.223.225.130,SES746508143,DEBUG,2025-11-20 12:08:37,2200,2025-11-20 12:08:37
EVT0000007,CUST00007,ORD00000007,STR0007,Promotion,PRM00007,ORDER_PLACED,ReturnService,Order Placed triggered for Promotion PRM00007,PROCESSING,DELIVERED,In-Store,Mobile,66.116.245.133,SES939719656,WARNING,2025-11-07 12:08:37,112,2025-11-07 12:08:37
EVT0000008,CUST00008,ORD00000008,STR0008,Store,STR0008,ORDER_CONFIRMED,PromotionEngine,Order Confirmed triggered for Store STR0008,PENDING,COMPLETED,Mobile App,Desktop,67.238.62.191,SES750430057,INFO,2025-09-30 12:08:37,142,2025-09-30 12:08:37
EVT0000009,CUST00009,ORD00000009,STR0009,Supplier,SUP00009,ORDER_PACKED,NotificationService,Order Packed triggered for Supplier SUP00009,,CLOSED,WhatsApp,Tablet,183.115.119.191,SES665693270,WARNING,2026-01-08 12:08:37,3023,2026-01-08 12:08:37
EVT0000010,CUST00010,ORD00000010,STR0010,Customer,CUST00010,ORDER_SHIPPED,AnalyticsEngine,Order Shipped triggered for Customer CUST00010,OPEN,COMPLETED,Phone,POS Terminal,2.52.17.35,SES292913620,INFO,2025-12-08 12:08:37,2698,2025-12-08 12:08:37
EVT0000011,CUST00011,ORD00000011,STR0011,Order,ORD00000011,ORDER_OUT_FOR_DELIVERY,CustomerService,Order Out For Delivery triggered for Order ORD00000011,OPEN,CLOSED,Online,Scanner,60.104.200.160,SES267501437,INFO,2025-10-18 12:08:37,3247,2025-10-18 12:08:37
EVT0000012,CUST00012,ORD00000012,STR0012,Product,PRD000012,ORDER_DELIVERED,ProductCatalog,Order Delivered triggered for Product PRD000012,OPEN,COMPLETED,In-Store,Kiosk,226.233.245.231,SES423847507,CRITICAL,2026-02-06 12:08:37,4049,2026-02-06 12:08:37
EVT0000013,CUST00013,ORD00000013,STR0013,Inventory,INV000013,ORDER_CANCELLED,OrderManagement,Order Cancelled triggered for Inventory INV000013,PENDING,DELIVERED,Mobile App,Mobile,101.185.8.104,SES455402485,ERROR,2025-11-17 12:08:37,2626,2025-11-17 12:08:37
