policy_id,customer_name,event_type,policy_status,event_timestamp
6001,Cust1,POLICY_CREATED,ACTIVE,2026-02-15 07:19:58.408708
6002,Cust2,POLICY_RENEWED,ACTIVE,2026-02-15 06:19:58.408708
6003,Cust3,POLICY_CANCELLED,CANCELLED,2026-02-15 05:19:58.408708
6004,Cust4,POLICY_CREATED,ACTIVE,2026-02-15 04:19:58.408708
6005,Cust5,POLICY_CREATED,ACTIVE,2026-02-15 03:19:58.408708
6006,Cust6,POLICY_RENEWED,ACTIVE,2026-02-15 02:19:58.408708
6007,Cust7,POLICY_CREATED,ACTIVE,2026-02-15 01:19:58.408708
6008,Cust8,POLICY_LAPSED,LAPSED,2026-02-15 00:19:58.408708
6009,Cust9,POLICY_CREATED,ACTIVE,2026-02-14 23:19:58.408708
6010,Cust10,POLICY_RENEWED,ACTIVE,2026-02-14 22:19:58.408708
