Case_ID,Activity,Timestamp,System_ID,Error_Code,Status
CASE-4331,Update,2023-10-01 10:43:55,27008,E404,Active
CASE-7018,System Check,2023-01-02 22:34:26,12082,E200,Active
CASE-6893,Log Error,2023-08-27 11:47:04,67104,E200,Error
CASE-3572,Maintenance,2023-04-03 09:34:26,16835,E500,Error
CASE-3901,Update,2023-12-04 06:57:40,56679,E404,Idle
CASE-5861,System Check,2023-10-12 08:38:59,60821,E404,Idle
CASE-3080,Maintenance,2023-07-17 14:02:18,45863,E500,Error
CASE-4880,Maintenance,2023-10-17 19:59:24,47409,E200,Active
CASE-8461,Maintenance,2023-07-12 07:06:56,60282,E200,Active
CASE-7077,System Check,2023-09-07 19:30:52,98457,E500,Active
CASE-2562,Update,2023-11-13 10:05:05,96067,E404,Error
CASE-4027,Log Error,2023-12-14 18:03:18,84377,E404,Error
CASE-2767,Log Error,2023-06-10 08:22:00,35864,E500,Idle
CASE-3591,Update,2023-07-14 21:34:56,32422,E404,Error
CASE-1449,Maintenance,2023-01-05 15:21:48,41534,E500,Active
CASE-2307,Log Error,2023-12-16 06:01:14,49093,E500,Idle
CASE-1459,Log Error,2023-02-19 19:39:11,21080,E500,Idle
CASE-3805,Update,2023-08-17 07:33:46,90748,E200,Active
CASE-5008,Log Error,2023-01-15 09:36:20,72806,E200,Idle
CASE-8450,Log Error,2023-08-13 02:43:40,80717,E200,Error
CASE-1912,Restart Service,2023-04-15 10:41:35,83419,E404,Idle
CASE-8644,Log Error,2023-08-31 13:15:26,61355,E500,Idle
CASE-6236,Restart Service,2023-05-25 15:07:08,37339,E200,Active
CASE-6660,Update,2023-01-17 10:23:37,63451,E200,Active
CASE-7532,Restart Service,2023-06-14 09:15:32,80365,E404,Active
CASE-5280,Update,2023-03-29 23:27:21,99755,E200,Error
CASE-3581,Maintenance,2023-04-21 22:27:31,47412,E200,Idle
CASE-9689,Log Error,2023-10-21 04:10:44,38714,E404,Error
CASE-5031,Update,2023-05-26 18:59:10,94537,E500,Idle
CASE-8552,System Check,2023-01-03 03:00:22,98957,E200,Active
CASE-8220,System Check,2023-11-13 21:59:35,90223,E200,Idle
CASE-3873,System Check,2023-07-04 18:51:36,38308,E404,Error
CASE-6715,Maintenance,2023-05-04 21:13:52,87362,E500,Active
CASE-6928,Log Error,2023-06-25 21:49:33,76849,E500,Active
CASE-1989,Update,2023-08-30 00:13:58,47247,E200,Active
CASE-8637,Log Error,2023-08-17 22:04:20,89451,E404,Active
CASE-8900,Log Error,2023-11-18 01:09:51,84947,E404,Active
CASE-1085,Maintenance,2023-02-20 13:30:07,50053,E500,Active
CASE-5733,Log Error,2023-09-30 07:40:20,55200,E500,Idle
CASE-7060,System Check,2023-09-03 21:00:25,23249,E404,Idle
CASE-1472,Maintenance,2023-05-01 02:51:48,90868,E404,Idle
CASE-5899,Update,2023-12-04 06:35:30,19575,E404,Idle
CASE-1687,Restart Service,2023-07-29 05:33:31,79850,E404,Idle
CASE-9613,Log Error,2023-08-20 17:45:32,19145,E404,Error
CASE-7418,Restart Service,2023-07-08 22:02:30,82993,E200,Error
CASE-9747,Restart Service,2023-01-16 17:41:43,55238,E404,Active
CASE-6064,System Check,2023-06-18 20:08:49,62041,E200,Error
CASE-5372,Restart Service,2023-05-23 03:39:18,61579,E500,Error
CASE-8289,System Check,2023-03-25 17:53:21,38739,E500,Error
CASE-1819,Log Error,2023-09-16 15:11:25,14298,E500,Active
CASE-7187,Restart Service,2023-11-14 17:04:19,13528,E500,Idle
CASE-7703,Maintenance,2023-12-15 06:21:19,65791,E500,Idle
CASE-2800,Restart Service,2023-05-08 13:27:03,84530,E404,Idle
CASE-3159,Maintenance,2023-07-02 22:28:39,55856,E404,Idle
CASE-4818,Maintenance,2023-02-06 12:53:44,78309,E200,Error
CASE-5015,System Check,2023-05-04 06:05:44,11229,E404,Idle
CASE-1063,Maintenance,2023-08-31 23:16:42,30189,E200,Active
CASE-8500,Maintenance,2023-05-30 17:20:47,39491,E404,Error
CASE-8519,Maintenance,2023-10-14 06:56:35,59736,E500,Active
CASE-7563,System Check,2023-09-14 02:19:32,99043,E200,Active
CASE-1848,System Check,2023-01-03 12:39:06,22904,E500,Active
CASE-8740,System Check,2023-04-15 07:23:51,94226,E200,Idle
CASE-1892,System Check,2023-01-02 09:54:12,18150,E200,Error
CASE-8979,Restart Service,2023-08-23 21:35:40,13374,E200,Error
CASE-3028,Update,2023-11-20 11:47:22,33132,E200,Idle
CASE-8056,Log Error,2023-07-03 02:50:03,21300,E200,Idle
CASE-8737,Update,2023-03-29 12:26:52,20866,E200,Error
CASE-7119,Update,2023-08-07 13:49:37,30228,E404,Error
CASE-2113,Log Error,2023-11-24 16:49:06,24864,E200,Active
