event_id,employee_id,event_name,event_timestamp
10025,10125,Interview scheduled,2024-04-16 03:07:16
10026,10204,Interview scheduled,2024-03-03 10:08:46
10027,10202,Employee profile creation,2024-05-05 19:47:20
10028,10108,Offer letter issued,2024-02-27 08:39:20
10029,10106,Job requisition creation,2024-01-20 10:31:08
10030,10116,HR discussion,2024-03-07 10:04:33
10031,10108,Interview scheduled,2024-01-28 06:02:26
10032,10200,HR discussion,2024-03-20 20:25:28
10033,10156,Offer letter issued,2024-05-04 01:18:01
10034,10201,Interview scheduled,2024-04-29 11:11:55
10035,10178,Interview scheduled,2024-03-07 12:13:42
10036,10124,Job requisition creation,2024-01-14 05:50:22
10037,10145,Offer letter issued,2024-04-23 09:40:06
10038,10109,Offer letter issued,2024-05-03 21:43:37
10039,10181,Job requisition creation,2024-02-20 07:59:40
10040,10135,HR discussion,2024-04-06 17:33:22
10041,10137,Offer letter issued,2024-02-23 22:43:51
10042,10128,HR discussion,2024-01-14 14:19:46
10043,10180,Interview scheduled,2024-05-03 14:14:06
10044,10179,Offer letter issued,2024-02-09 07:13:50
10045,10188,HR discussion,2024-02-23 07:28:25
10046,10186,Job requisition creation,2024-05-14 02:28:23
10047,10150,Employee profile creation,2024-01-11 07:20:43
10048,10170,Offer letter issued,2024-02-23 21:38:21
10049,10174,Interview scheduled,2024-03-13 07:50:44
10050,10173,Interview scheduled,2024-05-16 07:32:29
10051,10148,Employee profile creation,2024-04-13 06:27:34
10052,10177,Interview scheduled,2024-04-29 00:42:39
10053,10202,Interview scheduled,2024-05-02 23:47:59
10054,10199,Offer letter issued,2024-04-10 03:01:48
10055,10190,Employee profile creation,2024-04-07 23:14:34
10056,10174,HR discussion,2024-02-10 02:47:54
10057,10191,HR discussion,2024-01-23 21:00:06
10058,10192,Offer letter issued,2024-03-10 18:09:25
10059,10158,Employee profile creation,2024-05-21 23:12:19
10060,10176,Interview scheduled,2024-05-17 02:02:10
10061,10133,Employee profile creation,2024-04-27 15:19:43
10062,10191,Employee profile creation,2024-02-02 16:55:15
10063,10107,HR discussion,2024-04-01 04:13:01
10064,10178,Offer letter issued,2024-01-21 20:42:27
10065,10172,Employee profile creation,2024-03-25 09:53:07
10066,10188,Job requisition creation,2024-05-25 23:09:46
10067,10169,Employee profile creation,2024-04-10 06:53:29
10068,10202,Interview scheduled,2024-04-01 10:35:52
10069,10139,Interview scheduled,2024-05-25 18:11:05
10070,10200,Job requisition creation,2024-02-28 13:08:41
10071,10197,Offer letter issued,2024-03-14 14:21:44
10072,10118,Employee profile creation,2024-05-27 00:32:42
10073,10165,Interview scheduled,2024-02-05 01:25:19
10074,10190,Offer letter issued,2024-02-29 00:50:43
10075,10150,Offer letter issued,2024-03-25 12:15:08
10076,10135,Job requisition creation,2024-01-15 03:45:19
10077,10195,Interview scheduled,2024-05-11 22:33:41
10078,10204,Interview scheduled,2024-02-10 18:33:15
10079,10153,Offer letter issued,2024-05-11 18:44:27
10080,10165,HR discussion,2024-01-23 06:02:24
10081,10149,HR discussion,2024-03-02 14:00:42
10082,10137,Offer letter issued,2024-04-12 16:22:39
10083,10135,HR discussion,2024-02-07 11:33:45
10084,10186,Interview scheduled,2024-03-01 02:23:37
10085,10149,Employee profile creation,2024-04-03 11:39:18
10086,10190,Job requisition creation,2024-04-08 10:49:00
10087,10180,HR discussion,2024-03-02 19:03:02
10088,10143,Employee profile creation,2024-03-23 04:27:24
10089,10141,Interview scheduled,2024-04-08 13:39:59
10090,10115,Offer letter issued,2024-04-30 18:09:53
10091,10197,Interview scheduled,2024-02-14 03:03:19
10092,10151,Employee profile creation,2024-03-09 19:06:32
10093,10152,Employee profile creation,2024-04-03 12:55:44
10094,10105,Job requisition creation,2024-03-15 09:41:12
10095,10202,HR discussion,2024-03-25 14:03:03
10096,10127,Offer letter issued,2024-02-02 09:05:19
10097,10130,HR discussion,2024-02-03 07:18:20
10098,10149,Offer letter issued,2024-03-09 19:27:04
10099,10124,Offer letter issued,2024-05-13 04:25:37
10100,10133,Offer letter issued,2024-02-09 18:50:12
10101,10204,Employee profile creation,2024-05-20 10:23:31
10102,10198,Employee profile creation,2024-03-09 01:57:15
10103,10183,Employee profile creation,2024-02-11 11:04:34
10104,10166,Offer letter issued,2024-03-03 02:10:56
10105,10187,HR discussion,2024-04-16 11:49:20
10106,10182,HR discussion,2024-01-22 22:21:24
10107,10196,Job requisition creation,2024-04-10 04:36:59
10108,10117,Interview scheduled,2024-04-17 01:30:39
10109,10129,Interview scheduled,2024-05-13 22:56:31
10110,10142,Job requisition creation,2024-03-26 19:49:57
10111,10150,Interview scheduled,2024-03-14 09:59:38
10112,10156,Offer letter issued,2024-05-24 15:27:11
10113,10198,Offer letter issued,2024-03-22 17:34:48
10114,10202,Interview scheduled,2024-04-09 14:14:14
10115,10175,HR discussion,2024-01-13 20:57:52
10116,10180,HR discussion,2024-04-17 06:20:35
10117,10176,Offer letter issued,2024-01-13 22:08:19
10118,10183,HR discussion,2024-01-27 01:23:49
10119,10122,HR discussion,2024-05-21 15:52:51
10120,10117,Job requisition creation,2024-03-29 09:48:41
10121,10188,Interview scheduled,2024-04-22 02:58:10
10122,10193,Job requisition creation,2024-03-09 00:53:24
10123,10110,Job requisition creation,2024-03-29 12:12:13
10124,10109,Offer letter issued,2024-04-12 09:09:06
