case_id,customer_id,policy_id,event_name,event_time
CASE1,C001,P101,Customer_Registered,2025-01-01 09:00:00
CASE1,C001,P101,Policy_Purchased,2025-01-01 09:05:00
CASE1,C001,P101,Premium_Paid,2025-02-01 09:10:00
CASE1,C001,P101,Claim_Requested,2025-03-05 14:00:00
CASE1,C001,P101,Claim_Approved,2025-03-05 14:30:00
CASE1,C001,P101,Claim_Paid,2025-03-05 15:00:00
CASE1,C001,P101,Policy_Closed,2025-03-05 16:00:00

CASE2,C002,P102,Customer_Registered,2025-01-03 10:15:00
CASE2,C002,P102,Policy_Purchased,2025-01-03 10:20:00
CASE2,C002,P102,Premium_Paid,2025-02-02 10:20:00
CASE2,C002,P102,Claim_Requested,2025-03-06 15:10:00

CASE3,C003,P103,Customer_Registered,2025-01-05 11:30:00
CASE3,C003,P103,Policy_Purchased,2025-01-05 11:40:00
CASE3,C003,P103,Payment_Failed,2025-02-03 11:40:00
CASE3,C003,P103,Policy_Cancelled,2025-02-03 12:00:00
