complaint_id,customer_id,policy_id,claim_id,complaint_type,description,priority,complaint_status,raised_date,resolved_date,assigned_to,created_at,updated_at
CMP000001,CUST0001,POL000001,CLM000001,Claim Delay,Customer complaint regarding claim delay for policy POL000001,Low,Closed,2025-12-18 10:36:58,2026-01-06 10:36:58,AGT0001,2025-12-11 10:36:58,2026-02-11 10:36:58
CMP000002,CUST0002,POL000002,CLM000002,Premium Overcharge,Customer complaint regarding premium overcharge for policy POL000002,Medium,Withdrawn,2025-12-28 10:36:58,,AGT0002,2025-12-02 10:36:58,2026-01-25 10:36:58
CMP000003,CUST0003,POL000003,CLM000003,Policy Mis-selling,Customer complaint regarding policy mis-selling for policy POL000003,High,Under Review,2025-09-01 10:36:58,,AGT0003,2025-12-13 10:36:58,2026-01-28 10:36:58
CMP000004,CUST0004,POL000004,CLM000004,Poor Service,Customer complaint regarding poor service for policy POL000004,Critical,Closed,2025-11-01 10:36:58,2026-01-18 10:36:58,AGT0004,2026-01-10 10:36:58,2026-02-04 10:36:58
CMP000005,CUST0005,POL000005,CLM000005,Nomination Update Issue,Customer complaint regarding nomination update issue for policy POL000005,Low,Escalated,2025-11-28 10:36:58,,AGT0005,2025-10-14 10:36:58,2026-01-16 10:36:58
CMP000006,CUST0006,POL000006,CLM000006,Document Not Received,Customer complaint regarding document not received for policy POL000006,Medium,Closed,2025-12-27 10:36:58,2026-02-10 10:36:58,AGT0006,2025-11-25 10:36:58,2026-01-20 10:36:58
CMP000007,CUST0007,POL000007,CLM000007,Incorrect Policy Details,Customer complaint regarding incorrect policy details for policy POL000007,High,Closed,2025-11-11 10:36:58,2025-12-28 10:36:58,AGT0007,2025-10-14 10:36:58,2026-02-09 10:36:58
CMP000008,CUST0008,POL000008,CLM000008,Grievance Redressal,Customer complaint regarding grievance redressal for policy POL000008,Critical,Under Review,2025-09-13 10:36:58,,AGT0008,2025-10-17 10:36:58,2026-01-26 10:36:58
CMP000009,CUST0009,POL000009,CLM000009,Agent Misconduct,Customer complaint regarding agent misconduct for policy POL000009,Low,Escalated,2025-12-02 10:36:58,,AGT0009,2025-10-19 10:36:58,2026-02-02 10:36:58
CMP000010,CUST0010,POL000010,CLM000010,Technical Issue,Customer complaint regarding technical issue for policy POL000010,Medium,Withdrawn,2025-11-13 10:36:58,,AGT0010,2025-11-22 10:36:58,2026-01-23 10:36:58
CMP000011,CUST0011,POL000011,CLM000011,Claim Delay,Customer complaint regarding claim delay for policy POL000011,High,Resolved,2025-11-19 10:36:58,2026-01-27 10:36:58,AGT0011,2025-09-07 10:36:58,2026-01-26 10:36:58
CMP000012,CUST0012,POL000012,CLM000012,Premium Overcharge,Customer complaint regarding premium overcharge for policy POL000012,Critical,Open,2025-09-13 10:36:58,,AGT0012,2025-08-21 10:36:58,2026-02-09 10:36:58
CMP000013,CUST0013,POL000013,CLM000013,Policy Mis-selling,Customer complaint regarding policy mis-selling for policy POL000013,Low,Escalated,2025-11-04 10:36:58,,AGT0013,2025-11-10 10:36:58,2026-01-30 10:36:58
CMP000014,CUST0014,POL000014,CLM000014,Poor Service,Customer complaint regarding poor service for policy POL000014,Medium,Under Review,2025-11-20 10:36:58,,AGT0014,2025-10-29 10:36:58,2026-01-20 10:36:58
CMP000015,CUST0015,POL000015,CLM000015,Nomination Update Issue,Customer complaint regarding nomination update issue for policy POL000015,High,Open,2025-09-03 10:36:58,,AGT0015,2025-09-19 10:36:58,2026-02-05 10:36:58
CMP000016,CUST0016,POL000016,CLM000016,Document Not Received,Customer complaint regarding document not received for policy POL000016,Critical,Open,2025-10-13 10:36:58,,AGT0016,2026-01-11 10:36:58,2026-01-20 10:36:58
CMP000017,CUST0017,POL000017,CLM000017,Incorrect Policy Details,Customer complaint regarding incorrect policy details for policy POL000017,Low,Escalated,2025-12-13 10:36:58,,AGT0017,2025-08-30 10:36:58,2026-02-05 10:36:58
CMP000018,CUST0018,POL000018,CLM000018,Grievance Redressal,Customer complaint regarding grievance redressal for policy POL000018,Medium,Closed,2025-12-10 10:36:58,2026-02-08 10:36:58,AGT0018,2025-10-07 10:36:58,2026-01-20 10:36:58
CMP000019,CUST0019,POL000019,CLM000019,Agent Misconduct,Customer complaint regarding agent misconduct for policy POL000019,High,Closed,2025-08-21 10:36:58,2025-12-21 10:36:58,AGT0019,2025-11-29 10:36:58,2026-01-27 10:36:58
CMP000020,CUST0020,POL000020,CLM000020,Technical Issue,Customer complaint regarding technical issue for policy POL000020,Critical,Resolved,2025-12-06 10:36:58,2026-02-01 10:36:58,AGT0020,2026-01-08 10:36:58,2026-01-19 10:36:58
