policy_id,customer_id,agent_id,policy_type,policy_number,sum_insured,premium_amount,premium_frequency,policy_start_date,policy_end_date,policy_status,created_at,updated_at
POL000001,CUST0001,AGT0001,Life,INS3297603404,7459897.71,7451.11,Monthly,2024-01-05,2034-01-02,Expired,2024-12-05 10:36:58,2025-11-29 10:36:58
POL000002,CUST0002,AGT0002,Health,INS2628845545,3603695.19,39549.5,Quarterly,2022-01-24,2023-01-24,Expired,2024-04-05 10:36:58,2025-04-08 10:36:58
POL000003,CUST0003,AGT0003,Motor,INS7979588535,1961103.18,10619.62,Half-Yearly,2021-09-11,2023-09-11,Active,2024-11-30 10:36:58,2025-06-04 10:36:58
POL000004,CUST0004,AGT0004,Home,INS1053848109,3830685.12,34741.85,Annually,2021-07-08,2031-07-06,Active,2024-10-16 10:36:58,2025-04-29 10:36:58
POL000005,CUST0005,AGT0005,Travel,INS4510129956,8766785.79,42251.69,Monthly,2022-08-19,2032-08-16,Cancelled,2024-08-06 10:36:58,2025-10-07 10:36:58
POL000006,CUST0006,AGT0006,Term Life,INS9785787650,4025612.8,16430.61,Quarterly,2023-05-14,2033-05-11,Expired,2024-12-08 10:36:58,2026-02-08 10:36:58
POL000007,CUST0007,AGT0007,ULIP,INS6565126161,1323688.34,22519.83,Half-Yearly,2023-07-10,2033-07-07,Active,2025-01-24 10:36:58,2025-08-16 10:36:58
POL000008,CUST0008,AGT0008,Endowment,INS8230808679,8481150.27,33871.56,Annually,2024-03-15,2034-03-13,Active,2024-08-05 10:36:58,2025-09-28 10:36:58
POL000009,CUST0009,AGT0009,Personal Accident,INS3353540594,6966950.57,2889.99,Monthly,2021-09-13,2023-09-13,Lapsed,2024-07-24 10:36:58,2025-07-14 10:36:58
POL000010,CUST0010,AGT0010,Critical Illness,INS1234387308,2493475.54,14470.73,Quarterly,2022-04-01,2024-03-31,Surrendered,2024-12-27 10:36:58,2025-07-06 10:36:58
POL000011,CUST0011,AGT0011,Life,INS5052751830,8392782.9,8324.25,Half-Yearly,2025-02-05,2035-02-03,Expired,2024-03-28 10:36:58,2025-09-13 10:36:58
POL000012,CUST0012,AGT0012,Health,INS8577179948,1573581.08,46768.05,Annually,2024-10-11,2027-10-11,Active,2024-06-01 10:36:58,2025-07-26 10:36:58
POL000013,CUST0013,AGT0013,Motor,INS6297053627,4403193.34,24952.25,Monthly,2022-08-15,2023-08-15,Surrendered,2024-12-29 10:36:58,2025-08-08 10:36:58
POL000014,CUST0014,AGT0014,Home,INS7755476146,2163145.85,43027.29,Quarterly,2022-04-22,2024-04-21,Cancelled,2024-04-06 10:36:58,2025-11-02 10:36:58
POL000015,CUST0015,AGT0015,Travel,INS4854360204,1806552.55,34952.05,Half-Yearly,2024-02-24,2026-02-23,Expired,2024-03-17 10:36:58,2025-05-25 10:36:58
POL000016,CUST0016,AGT0016,Term Life,INS1331780818,2480998.68,12885.2,Annually,2021-05-09,2031-05-07,Cancelled,2024-07-26 10:36:58,2025-05-21 10:36:58
POL000017,CUST0017,AGT0017,ULIP,INS6332725249,3307954.19,29100.31,Monthly,2021-12-22,2022-12-22,Cancelled,2024-11-09 10:36:58,2025-12-26 10:36:58
POL000018,CUST0018,AGT0018,Endowment,INS5051464286,4423902.33,17129.17,Quarterly,2021-08-08,2022-08-08,Active,2024-03-11 10:36:58,2025-09-17 10:36:58
POL000019,CUST0019,AGT0019,Personal Accident,INS8180590422,200350.36,27455.09,Half-Yearly,2024-01-31,2027-01-30,Expired,2024-08-11 10:36:58,2025-12-17 10:36:58
POL000020,CUST0020,AGT0020,Critical Illness,INS2671765436,6996281.8,27481.1,Annually,2024-03-24,2027-03-24,Expired,2024-06-27 10:36:58,2026-01-16 10:36:58
