payment_id,policy_id,customer_id,payment_mode,amount,gst_amount,total_amount,payment_date,due_date,reference_number,payment_status,created_at,updated_at
PAY0000001,POL000001,CUST0001,Credit Card,38685.59,6963.41,45649.0,2025-09-21 10:36:58,2025-04-26,PAY4826393733,Success,2025-07-30 10:36:58,2026-01-26 10:36:58
PAY0000002,POL000002,CUST0002,Debit Card,41525.66,7474.62,49000.28,2025-05-15 10:36:58,2025-11-03,PAY8156765341,Pending,2025-10-16 10:36:58,2026-01-28 10:36:58
PAY0000003,POL000003,CUST0003,Net Banking,14194.94,2555.09,16750.03,2026-01-04 10:36:58,2025-07-29,PAY8331885885,Pending,2025-03-10 10:36:58,2026-02-04 10:36:58
PAY0000004,POL000004,CUST0004,UPI,25012.36,4502.22,29514.58,2025-05-04 10:36:58,2025-11-17,PAY9720161262,Pending,2025-09-18 10:36:58,2026-02-08 10:36:58
PAY0000005,POL000005,CUST0005,Cheque,45404.84,8172.87,53577.71,2025-02-14 10:36:58,2026-02-04,PAY4700474141,Pending,2025-09-06 10:36:58,2026-02-03 10:36:58
PAY0000006,POL000006,CUST0006,NEFT,20884.05,3759.13,24643.18,2025-07-23 10:36:58,2025-11-23,PAY9092677514,Pending,2025-10-22 10:36:58,2026-02-13 10:36:58
PAY0000007,POL000007,CUST0007,Auto Debit,9476.54,1705.78,11182.32,2025-06-21 10:36:58,2025-06-21,PAY8900005372,Pending,2025-02-25 10:36:58,2026-02-08 10:36:58
PAY0000008,POL000008,CUST0008,Cash,17731.33,3191.64,20922.97,2025-12-03 10:36:58,2025-02-25,PAY3650335302,Refunded,2025-04-05 10:36:58,2026-01-23 10:36:58
PAY0000009,POL000009,CUST0009,Wallet,30198.28,5435.69,35633.97,2025-06-19 10:36:58,2025-10-28,PAY3148073629,Refunded,2025-07-29 10:36:58,2026-01-20 10:36:58
PAY0000010,POL000010,CUST0010,NACH,22329.29,4019.27,26348.56,2025-09-05 10:36:58,2025-08-29,PAY5197804798,Success,2025-11-30 10:36:58,2026-02-06 10:36:58
PAY0000011,POL000011,CUST0011,Credit Card,48765.05,8777.71,57542.76,2025-10-10 10:36:58,2025-07-31,PAY5096783802,Pending,2025-12-04 10:36:58,2026-02-08 10:36:58
PAY0000012,POL000012,CUST0012,Debit Card,4857.7,874.39,5732.09,2026-01-16 10:36:58,2025-12-31,PAY8003041862,Refunded,2025-09-26 10:36:58,2026-01-21 10:36:58
PAY0000013,POL000013,CUST0013,Net Banking,48844.25,8791.97,57636.22,2025-07-04 10:36:58,2025-08-24,PAY3171733981,Failed,2025-02-14 10:36:58,2026-01-27 10:36:58
PAY0000014,POL000014,CUST0014,UPI,49639.72,8935.15,58574.87,2025-07-09 10:36:58,2025-04-14,PAY7161371951,Pending,2025-10-20 10:36:58,2026-01-25 10:36:58
PAY0000015,POL000015,CUST0015,Cheque,46360.63,8344.91,54705.54,2025-06-12 10:36:58,2025-04-28,PAY4617503331,Refunded,2025-06-01 10:36:58,2026-01-30 10:36:58
PAY0000016,POL000016,CUST0016,NEFT,10797.84,1943.61,12741.45,2025-02-27 10:36:58,2025-05-24,PAY7853854316,Refunded,2025-03-06 10:36:58,2026-01-30 10:36:58
PAY0000017,POL000017,CUST0017,Auto Debit,39392.18,7090.59,46482.77,2025-06-11 10:36:58,2026-01-27,PAY2952140932,Success,2025-07-22 10:36:58,2026-01-29 10:36:58
PAY0000018,POL000018,CUST0018,Cash,2556.73,460.21,3016.94,2025-07-05 10:36:58,2025-09-06,PAY4557748813,Failed,2025-11-11 10:36:58,2026-01-16 10:36:58
PAY0000019,POL000019,CUST0019,Wallet,39603.0,7128.54,46731.54,2025-05-09 10:36:58,2025-07-09,PAY1001417743,Failed,2025-03-19 10:36:58,2026-01-21 10:36:58
PAY0000020,POL000020,CUST0020,NACH,11062.65,1991.28,13053.93,2025-10-24 10:36:58,2025-10-07,PAY5381833949,Success,2025-12-23 10:36:58,2026-01-20 10:36:58
