renewal_id,policy_id,customer_id,agent_id,previous_premium,revised_premium,discount_applied,renewal_start_date,renewal_end_date,renewal_status,renewal_mode,reminder_sent_at,created_at,updated_at
RNW000001,POL000001,CUST0001,AGT0001,26566.86,26401.1,7.23%,2025-07-06,2026-07-06,Pending,Online,2025-12-01 10:36:58,2025-06-24 10:36:58,2026-01-20 10:36:58
RNW000002,POL000002,CUST0002,AGT0002,30042.02,29008.02,7.8%,2026-02-12,2027-02-12,Under Process,Offline,2026-01-24 10:36:58,2025-05-27 10:36:58,2026-01-26 10:36:58
RNW000003,POL000003,CUST0003,AGT0003,43327.44,39404.3,8.95%,2025-09-01,2026-09-01,Renewed,Auto-Renewal,2026-01-31 10:36:58,2025-02-19 10:36:58,2026-01-14 10:36:58
RNW000004,POL000004,CUST0004,AGT0004,7728.7,7532.66,2.42%,2025-09-21,2026-09-21,Under Process,Agent Assisted,2026-01-08 10:36:58,2025-09-19 10:36:58,2026-01-26 10:36:58
RNW000005,POL000005,CUST0005,AGT0005,24900.78,24577.81,0.67%,2025-03-08,2026-03-08,Cancelled,Branch,2026-01-02 10:36:58,2025-12-16 10:36:58,2026-02-08 10:36:58
RNW000006,POL000006,CUST0006,AGT0006,11905.84,12060.23,1.3%,2025-05-17,2026-05-17,Cancelled,Online,2025-11-16 10:36:58,2025-10-31 10:36:58,2026-02-07 10:36:58
RNW000007,POL000007,CUST0007,AGT0007,29314.48,28234.5,13.38%,2026-01-02,2027-01-02,Renewed,Offline,2025-12-23 10:36:58,2025-05-10 10:36:58,2026-02-09 10:36:58
RNW000008,POL000008,CUST0008,AGT0008,13138.05,11726.05,7.57%,2025-07-24,2026-07-24,Lapsed,Auto-Renewal,2025-11-30 10:36:58,2025-08-18 10:36:58,2026-01-29 10:36:58
RNW000009,POL000009,CUST0009,AGT0009,11562.13,11611.03,8.4%,2025-04-19,2026-04-19,Cancelled,Agent Assisted,2025-11-20 10:36:58,2025-03-11 10:36:58,2026-02-03 10:36:58
RNW000010,POL000010,CUST0010,AGT0010,37151.79,38070.15,6.73%,2025-12-03,2026-12-03,Cancelled,Branch,2025-12-06 10:36:58,2025-05-13 10:36:58,2026-02-05 10:36:58
RNW000011,POL000011,CUST0011,AGT0011,44345.83,40524.65,10.42%,2025-04-02,2026-04-02,Under Process,Online,2026-01-29 10:36:58,2025-09-27 10:36:58,2026-01-29 10:36:58
RNW000012,POL000012,CUST0012,AGT0012,26952.07,25746.52,8.01%,2025-07-10,2026-07-10,Under Process,Offline,2026-01-27 10:36:58,2025-09-25 10:36:58,2026-01-15 10:36:58
RNW000013,POL000013,CUST0013,AGT0013,6480.73,6352.27,8.85%,2025-06-13,2026-06-13,Renewed,Auto-Renewal,2026-01-10 10:36:58,2025-09-21 10:36:58,2026-02-11 10:36:58
RNW000014,POL000014,CUST0014,AGT0014,13912.1,12362.41,9.72%,2025-03-18,2026-03-18,Lapsed,Agent Assisted,2025-12-25 10:36:58,2025-07-02 10:36:58,2026-01-24 10:36:58
RNW000015,POL000015,CUST0015,AGT0015,42284.38,38348.73,11.21%,2026-01-12,2027-01-12,Under Process,Branch,2025-11-22 10:36:58,2025-02-24 10:36:58,2026-01-29 10:36:58
RNW000016,POL000016,CUST0016,AGT0016,3532.17,3636.83,2.97%,2025-12-07,2026-12-07,Renewed,Online,2025-12-25 10:36:58,2025-04-15 10:36:58,2026-02-03 10:36:58
RNW000017,POL000017,CUST0017,AGT0017,11357.4,10728.81,5.47%,2025-09-15,2026-09-15,Cancelled,Offline,2025-12-18 10:36:58,2025-03-01 10:36:58,2026-01-19 10:36:58
RNW000018,POL000018,CUST0018,AGT0018,20755.58,20103.18,11.8%,2026-01-30,2027-01-30,Renewed,Auto-Renewal,2025-11-21 10:36:58,2025-04-27 10:36:58,2026-02-12 10:36:58
RNW000019,POL000019,CUST0019,AGT0019,27101.14,23728.56,13.61%,2025-09-18,2026-09-18,Cancelled,Agent Assisted,2026-01-30 10:36:58,2025-12-22 10:36:58,2026-01-29 10:36:58
RNW000020,POL000020,CUST0020,AGT0020,10934.32,10800.03,12.91%,2025-08-05,2026-08-05,Pending,Branch,2026-01-30 10:36:58,2025-10-08 10:36:58,2026-01-23 10:36:58
