vehicle_id,policy_id,customer_id,vehicle_type,make,model,year,registration_number,engine_number,chassis_number,fuel_type,idv_value,created_at,updated_at
VEH00001,POL000001,CUST0001,Two-Wheeler,Maruti,Swift,2010,TA55HE2283,ENG118810192925,CHS367899728931,Petrol,830556.53,2025-01-07 10:36:58,2026-02-02 10:36:58
VEH00002,POL000002,CUST0002,Four-Wheeler,Hyundai,i20,2010,MA32GH6628,ENG381838891984,CHS808972221201,Diesel,51076.98,2024-12-17 10:36:58,2025-03-14 10:36:58
VEH00003,POL000003,CUST0003,Commercial,Tata,Nexon,2016,DE20YZ7058,ENG565991793608,CHS943427836606,CNG,860858.45,2024-03-20 10:36:58,2025-10-02 10:36:58
VEH00004,POL000004,CUST0004,Heavy Vehicle,Honda,City,2015,KA54DJ9702,ENG169765193723,CHS138355437918,Electric,368573.94,2024-08-31 10:36:58,2025-04-02 10:36:58
VEH00005,POL000005,CUST0005,Three-Wheeler,Toyota,Innova,2011,TE44KV4983,ENG586244607297,CHS588188127049,Hybrid,806900.96,2024-04-11 10:36:58,2025-10-02 10:36:58
VEH00006,POL000006,CUST0006,Two-Wheeler,Mahindra,Scorpio,2011,MA59DZ1290,ENG642378341944,CHS988637746749,Petrol,1070724.4,2024-07-10 10:36:58,2025-09-02 10:36:58
VEH00007,POL000007,CUST0007,Four-Wheeler,Ford,EcoSport,2018,WE40VY9758,ENG219686693004,CHS417467386674,Diesel,627645.48,2024-10-30 10:36:58,2026-01-10 10:36:58
VEH00008,POL000008,CUST0008,Commercial,Kia,Seltos,2019,GU45QZ9029,ENG192751351640,CHS124466387146,CNG,118953.77,2025-01-02 10:36:58,2025-03-26 10:36:58
VEH00009,POL000009,CUST0009,Heavy Vehicle,Renault,Kwid,2012,TA62GP1290,ENG233228130488,CHS455620467582,Electric,366198.38,2024-03-09 10:36:58,2025-03-23 10:36:58
VEH00010,POL000010,CUST0010,Three-Wheeler,Volkswagen,Polo,2011,TA11PK4000,ENG249627664899,CHS953920900631,Hybrid,1051540.97,2024-11-15 10:36:58,2025-02-17 10:36:58
VEH00011,POL000011,CUST0011,Two-Wheeler,Bajaj,Pulsar,2016,KE23KF7858,ENG793148248891,CHS182017931826,Petrol,440020.81,2024-05-20 10:36:58,2025-09-11 10:36:58
VEH00012,POL000012,CUST0012,Four-Wheeler,Hero,Splendor,2014,RA30JZ3025,ENG920489619909,CHS375177861277,Diesel,736522.14,2024-12-10 10:36:58,2025-09-18 10:36:58
VEH00013,POL000013,CUST0013,Commercial,TVS,Apache,2019,UT71GS6023,ENG593184488747,CHS650839359778,CNG,416791.04,2024-11-11 10:36:58,2025-06-23 10:36:58
VEH00014,POL000014,CUST0014,Heavy Vehicle,Royal Enfield,Bullet,2014,MA29GL9362,ENG981021279087,CHS351266288399,Electric,939796.63,2024-04-11 10:36:58,2025-05-25 10:36:58
VEH00015,POL000015,CUST0015,Three-Wheeler,Yamaha,FZ,2011,GU39TP3368,ENG102460637585,CHS896019615748,Hybrid,1188838.01,2024-07-24 10:36:58,2025-04-22 10:36:58
VEH00016,POL000016,CUST0016,Two-Wheeler,Suzuki,Access,2022,MA20AP2448,ENG604339790947,CHS190652405030,Petrol,56950.75,2024-12-30 10:36:58,2025-10-13 10:36:58
VEH00017,POL000017,CUST0017,Four-Wheeler,Skoda,Octavia,2014,MA34DE5224,ENG442343570765,CHS845412926608,Diesel,979671.3,2024-12-30 10:36:58,2025-04-04 10:36:58
VEH00018,POL000018,CUST0018,Commercial,MG,Hector,2011,BI51AG5878,ENG466809610350,CHS145114059239,CNG,692359.59,2024-10-08 10:36:58,2025-06-13 10:36:58
VEH00019,POL000019,CUST0019,Heavy Vehicle,Jeep,Compass,2018,GU88MG6703,ENG147806068715,CHS459501920246,Electric,1058851.69,2024-05-06 10:36:58,2025-03-06 10:36:58
VEH00020,POL000020,CUST0020,Three-Wheeler,Nissan,Magnite,2024,AN39GW9570,ENG566454325519,CHS622776364350,Hybrid,1442771.1,2024-04-10 10:36:58,2025-08-20 10:36:58
