alert_id,account_id,transaction_id,customer_id,alert_type,risk_score,description,alert_status,assigned_to,resolved_at,created_at,updated_at
ALT000001,ACC00001,TXN0000001,CUST0001,Suspicious Transaction,0.83,Suspicious Transaction detected for account ACC00001,False Positive,EMP0001,2026-02-02 10:29:41,2026-01-29 10:29:41,2025-11-30 10:29:41
ALT000002,ACC00002,TXN0000002,CUST0002,Multiple Failed Logins,0.4,Multiple Failed Logins detected for account ACC00002,Open,EMP0002,2026-01-27 10:29:41,2025-10-31 10:29:41,2025-12-30 10:29:41
ALT000003,ACC00003,TXN0000003,CUST0003,Unusual Location,0.78,Unusual Location detected for account ACC00003,Open,EMP0003,2026-01-14 10:29:41,2025-12-02 10:29:41,2025-11-29 10:29:41
ALT000004,ACC00004,TXN0000004,CUST0004,Large Transfer,0.19,Large Transfer detected for account ACC00004,False Positive,EMP0004,,2025-12-21 10:29:41,2026-01-25 10:29:41
ALT000005,ACC00005,TXN0000005,CUST0005,Card Skimming Suspect,0.86,Card Skimming Suspect detected for account ACC00005,Resolved,EMP0005,2026-02-06 10:29:41,2025-09-24 10:29:41,2025-12-28 10:29:41
ALT000006,ACC00006,TXN0000006,CUST0006,Identity Theft,0.35,Identity Theft detected for account ACC00006,Under Review,EMP0006,,2025-10-27 10:29:41,2025-12-04 10:29:41
ALT000007,ACC00007,TXN0000007,CUST0007,Phishing Attempt,0.66,Phishing Attempt detected for account ACC00007,False Positive,EMP0007,2026-01-18 10:29:41,2026-02-07 10:29:41,2025-11-28 10:29:41
ALT000008,ACC00008,TXN0000008,CUST0008,Duplicate Transaction,0.72,Duplicate Transaction detected for account ACC00008,Open,EMP0008,2026-01-18 10:29:41,2025-12-29 10:29:41,2026-01-10 10:29:41
ALT000009,ACC00009,TXN0000009,CUST0009,Velocity Breach,0.93,Velocity Breach detected for account ACC00009,Resolved,EMP0009,2026-02-04 10:29:41,2026-02-12 10:29:41,2026-01-21 10:29:41
ALT000010,ACC00010,TXN0000010,CUST0010,AML Flag,0.69,AML Flag detected for account ACC00010,Open,EMP0010,2026-01-26 10:29:41,2026-01-08 10:29:41,2025-11-24 10:29:41
ALT000011,ACC00011,TXN0000011,CUST0011,Suspicious Transaction,0.77,Suspicious Transaction detected for account ACC00011,Under Review,EMP0011,2026-02-11 10:29:41,2025-11-09 10:29:41,2025-12-22 10:29:41
ALT000012,ACC00012,TXN0000012,CUST0012,Multiple Failed Logins,0.43,Multiple Failed Logins detected for account ACC00012,Resolved,EMP0012,2026-02-08 10:29:41,2025-09-21 10:29:41,2025-11-29 10:29:41
ALT000013,ACC00013,TXN0000013,CUST0013,Unusual Location,0.15,Unusual Location detected for account ACC00013,Under Review,EMP0013,,2025-09-08 10:29:41,2026-02-07 10:29:41
ALT000014,ACC00014,TXN0000014,CUST0014,Large Transfer,0.5,Large Transfer detected for account ACC00014,Escalated,EMP0014,2026-02-05 10:29:41,2025-10-12 10:29:41,2025-11-28 10:29:41
ALT000015,ACC00015,TXN0000015,CUST0015,Card Skimming Suspect,0.29,Card Skimming Suspect detected for account ACC00015,False Positive,EMP0015,2026-02-05 10:29:41,2026-01-15 10:29:41,2025-12-31 10:29:41
ALT000016,ACC00016,TXN0000016,CUST0016,Identity Theft,0.71,Identity Theft detected for account ACC00016,False Positive,EMP0016,2026-02-04 10:29:41,2025-10-12 10:29:41,2025-12-08 10:29:41
ALT000017,ACC00017,TXN0000017,CUST0017,Phishing Attempt,0.3,Phishing Attempt detected for account ACC00017,False Positive,EMP0017,2026-02-12 10:29:41,2026-01-30 10:29:41,2026-02-13 10:29:41
ALT000018,ACC00018,TXN0000018,CUST0018,Duplicate Transaction,0.95,Duplicate Transaction detected for account ACC00018,Under Review,EMP0018,,2025-12-10 10:29:41,2026-01-07 10:29:41
ALT000019,ACC00019,TXN0000019,CUST0019,Velocity Breach,0.11,Velocity Breach detected for account ACC00019,Escalated,EMP0019,,2025-12-31 10:29:41,2026-01-28 10:29:41
ALT000020,ACC00020,TXN0000020,CUST0020,AML Flag,0.73,AML Flag detected for account ACC00020,False Positive,EMP0020,,2025-09-23 10:29:41,2025-11-20 10:29:41
