loan_id,customer_id,account_id,loan_type,principal_amount,interest_rate,tenure_months,emi_amount,outstanding_balance,loan_status,disbursement_date,created_at,updated_at
LN00001,CUST0001,ACC00001,Home Loan,2207388.08,7.8,84,34185.29,1475732.92,Sanctioned,2021-12-23,2024-11-21 10:29:41,2025-06-19 10:29:41
LN00002,CUST0002,ACC00002,Personal Loan,4601731.02,17.8,240,70311.56,565651.61,Sanctioned,2022-09-20,2024-05-01 10:29:41,2025-03-11 10:29:41
LN00003,CUST0003,ACC00003,Car Loan,184155.13,14.25,36,6316.37,154105.37,Closed,2025-10-04,2024-10-03 10:29:41,2025-08-03 10:29:41
LN00004,CUST0004,ACC00004,Education Loan,1670395.7,12.27,84,29728.78,1247861.18,Sanctioned,2024-06-24,2024-07-13 10:29:41,2025-10-07 10:29:41
LN00005,CUST0005,ACC00005,Business Loan,4182809.03,12.44,240,47345.78,603465.43,NPA,2024-10-12,2024-03-18 10:29:41,2026-01-09 10:29:41
LN00006,CUST0006,ACC00006,Gold Loan,3917103.6,14.34,12,352332.39,3553478.77,Closed,2021-05-02,2025-02-03 10:29:41,2025-04-01 10:29:41
LN00007,CUST0007,ACC00007,Mortgage,804292.61,8.83,24,36681.2,465986.34,Closed,2023-06-07,2024-02-21 10:29:41,2025-10-05 10:29:41
LN00008,CUST0008,ACC00008,Credit Line,3846145.59,9.26,24,176169.34,2927390.27,Closed,2024-04-17,2024-12-20 10:29:41,2025-04-23 10:29:41
LN00009,CUST0009,ACC00009,Two-Wheeler Loan,177108.21,10.78,120,2417.66,77423.97,Closed,2025-08-12,2024-04-16 10:29:41,2025-02-25 10:29:41
LN00010,CUST0010,ACC00010,Agriculture Loan,4161329.59,10.05,60,88518.37,3423730.81,Disbursed,2021-07-10,2024-12-14 10:29:41,2025-04-30 10:29:41
LN00011,CUST0011,ACC00011,Home Loan,3924044.96,11.15,120,54387.44,2598868.06,Active,2023-03-15,2024-03-19 10:29:41,2025-08-23 10:29:41
LN00012,CUST0012,ACC00012,Personal Loan,112628.14,11.91,180,1345.21,21366.46,NPA,2022-06-23,2024-06-23 10:29:41,2025-02-16 10:29:41
LN00013,CUST0013,ACC00013,Car Loan,807306.19,9.35,240,7446.25,743248.6,NPA,2022-08-02,2024-05-14 10:29:41,2025-06-11 10:29:41
LN00014,CUST0014,ACC00014,Education Loan,2351125.17,16.17,60,57387.38,879224.17,Closed,2021-05-19,2024-12-31 10:29:41,2025-09-24 10:29:41
LN00015,CUST0015,ACC00015,Business Loan,4414074.36,10.06,180,47596.02,2579462.34,Sanctioned,2024-02-26,2025-01-30 10:29:41,2025-06-05 10:29:41
LN00016,CUST0016,ACC00016,Gold Loan,4262216.54,9.41,48,106897.16,1711711.37,NPA,2024-02-17,2024-09-23 10:29:41,2025-04-14 10:29:41
LN00017,CUST0017,ACC00017,Mortgage,3520859.56,10.4,12,310194.88,1898212.15,Closed,2025-07-23,2024-10-13 10:29:41,2025-07-20 10:29:41
LN00018,CUST0018,ACC00018,Credit Line,2468460.34,15.46,180,35329.26,1602073.87,Sanctioned,2023-07-12,2025-02-05 10:29:41,2025-12-28 10:29:41
LN00019,CUST0019,ACC00019,Two-Wheeler Loan,1506466.13,11.75,48,39486.37,542742.27,Disbursed,2023-12-21,2024-06-16 10:29:41,2025-05-06 10:29:41
LN00020,CUST0020,ACC00020,Agriculture Loan,2678063.56,11.97,240,29431.79,1020804.46,Sanctioned,2024-07-09,2024-09-10 10:29:41,2025-10-08 10:29:41
