transaction_id,account_id,transaction_type,amount,currency,channel,beneficiary_id,reference_number,status,description,transaction_timestamp,created_at
TXN0000001,ACC00001,Deposit,4534.21,INR,Mobile App,BEN00001,REF2872852789,Failed,Deposit from account ACC00001,2025-08-11 10:29:41,2025-07-08 10:29:41
TXN0000002,ACC00002,Withdrawal,7090.38,INR,Internet Banking,BEN00002,REF4642197907,Pending,Withdrawal from account ACC00002,2025-05-30 10:29:41,2025-09-08 10:29:41
TXN0000003,ACC00003,Transfer,66722.6,INR,Branch,BEN00003,REF6695912196,Pending,Transfer from account ACC00003,2025-05-06 10:29:41,2025-12-10 10:29:41
TXN0000004,ACC00004,Bill Payment,19264.83,INR,ATM,BEN00004,REF7739255769,Reversed,Bill Payment from account ACC00004,2025-05-09 10:29:41,2026-02-13 10:29:41
TXN0000005,ACC00005,UPI,30457.11,INR,POS Terminal,BEN00005,REF6197695041,Pending,UPI from account ACC00005,2025-06-20 10:29:41,2025-07-02 10:29:41
TXN0000006,ACC00006,NEFT,44271.76,INR,UPI App,BEN00006,REF5659161352,Pending,NEFT from account ACC00006,2025-12-28 10:29:41,2025-10-16 10:29:41
TXN0000007,ACC00007,RTGS,67312.29,INR,Mobile App,BEN00007,REF1855256552,Success,RTGS from account ACC00007,2026-01-21 10:29:41,2025-10-11 10:29:41
TXN0000008,ACC00008,IMPS,98395.21,INR,Internet Banking,BEN00008,REF4300636585,Reversed,IMPS from account ACC00008,2025-07-16 10:29:41,2025-03-28 10:29:41
TXN0000009,ACC00009,ATM,57609.52,INR,Branch,BEN00009,REF6944142262,Reversed,ATM from account ACC00009,2025-10-12 10:29:41,2025-11-30 10:29:41
TXN0000010,ACC00010,POS,65640.2,INR,ATM,BEN00010,REF2825989011,Failed,POS from account ACC00010,2025-02-22 10:29:41,2025-05-24 10:29:41
TXN0000011,ACC00011,Deposit,46508.53,INR,POS Terminal,BEN00011,REF3394039673,Success,Deposit from account ACC00011,2025-06-25 10:29:41,2025-12-07 10:29:41
TXN0000012,ACC00012,Withdrawal,80161.52,INR,UPI App,BEN00012,REF7852415525,Reversed,Withdrawal from account ACC00012,2025-04-06 10:29:41,2025-05-31 10:29:41
TXN0000013,ACC00013,Transfer,42731.4,INR,Mobile App,BEN00013,REF8995059760,Reversed,Transfer from account ACC00013,2025-10-04 10:29:41,2025-10-10 10:29:41
TXN0000014,ACC00014,Bill Payment,84002.3,INR,Internet Banking,BEN00014,REF6322520473,Reversed,Bill Payment from account ACC00014,2026-01-05 10:29:41,2025-02-13 10:29:41
TXN0000015,ACC00015,UPI,28644.24,INR,Branch,BEN00015,REF6461974809,Pending,UPI from account ACC00015,2025-05-13 10:29:41,2026-01-03 10:29:41
TXN0000016,ACC00016,NEFT,13923.57,INR,ATM,BEN00016,REF6288227800,Failed,NEFT from account ACC00016,2025-02-17 10:29:41,2025-10-27 10:29:41
TXN0000017,ACC00017,RTGS,6516.46,INR,POS Terminal,BEN00017,REF7045593274,Reversed,RTGS from account ACC00017,2025-07-16 10:29:41,2026-01-13 10:29:41
TXN0000018,ACC00018,IMPS,20762.76,INR,UPI App,BEN00018,REF7099469983,Success,IMPS from account ACC00018,2025-04-25 10:29:41,2025-08-03 10:29:41
TXN0000019,ACC00019,ATM,47750.28,INR,Mobile App,BEN00019,REF9344011888,Pending,ATM from account ACC00019,2025-07-29 10:29:41,2025-07-14 10:29:41
TXN0000020,ACC00020,POS,53868.23,INR,Internet Banking,BEN00020,REF4856070374,Reversed,POS from account ACC00020,2025-10-24 10:29:41,2025-09-27 10:29:41
