TransactionID,AccountID,TransactionDate,ValueDate,TransactionType,Amount,Currency,Description,Category,MerchantName,ChannelID,Status,BalanceAfterTxn,ReferenceNumber
TXN9179628607,ACC00000001,2024-08-19,2024-10-20,Credit,3684.22,USD,Txn-FNNUK,Withdrawal,Amazon,Mobile,Failed,91696.06,REF20914088
TXN4163869523,ACC00000002,2024-10-12,2024-10-14,Debit,1568.71,USD,Txn-EdMXM,Transfer,Walmart,POS,Pending,84160.18,REF13801703
TXN2549868658,ACC00000003,2024-05-04,2024-11-15,Credit,46.01,USD,Txn-oGYSR,Shopping,Starbucks,Web,Failed,18306.64,REF51987760
TXN6172493258,ACC00000004,2024-04-08,2024-01-14,Credit,3821.35,USD,Txn-dsvWH,Withdrawal,Uber,ATM,Success,45923.08,REF81289481
TXN1057761311,ACC00000005,2024-06-22,2024-10-01,Debit,2037.51,USD,Txn-VcOPi,Transfer,None,Mobile,Failed,59018.45,REF48274284
TXN7624111312,ACC00000006,2024-03-24,2024-09-25,Credit,20.78,USD,Txn-RVOZd,Utilities,Walmart,Web,Pending,8129.8,REF76403792
TXN0075520393,ACC00000007,2024-06-13,2024-02-22,Debit,1075.46,USD,Txn-PBSla,Utilities,Amazon,ATM,Pending,21985.01,REF91628336
TXN7318835021,ACC00000008,2024-02-23,2024-02-21,Credit,4216.68,USD,Txn-kHWSw,Shopping,Uber,Web,Success,73734.26,REF26230254
TXN2111386264,ACC00000009,2024-02-11,2024-06-18,Debit,2460.59,USD,Txn-UaeME,Utilities,Starbucks,Mobile,Failed,30630.71,REF47799200
TXN7526566227,ACC00000010,2024-08-27,2024-12-12,Debit,4544.57,USD,Txn-FNFSv,Shopping,Amazon,POS,Pending,36271.73,REF85471162
TXN6886976504,ACC00000011,2024-07-20,2024-05-09,Debit,3107.9,USD,Txn-tAHJe,Utilities,Starbucks,Web,Failed,41588.01,REF20918151
TXN8287854606,ACC00000012,2024-08-26,2024-04-16,Credit,4356.18,USD,Txn-BuaHK,Withdrawal,Walmart,ATM,Pending,18086.22,REF62807472
TXN8501152870,ACC00000013,2024-05-02,2024-03-27,Credit,2694.08,USD,Txn-KetLf,Utilities,Walmart,Web,Failed,69715.22,REF48502583
TXN9944247895,ACC00000014,2024-03-24,2024-12-27,Debit,1305.62,USD,Txn-gBcez,Utilities,Amazon,ATM,Success,65701.98,REF31572029
TXN9867402042,ACC00000015,2024-08-05,2024-02-06,Debit,3236.25,USD,Txn-Mueul,Utilities,Walmart,Web,Pending,38062.37,REF41767050
TXN6134977451,ACC00000016,2024-01-23,2024-07-18,Debit,2731.57,USD,Txn-bnYbM,Shopping,Amazon,ATM,Failed,97845.54,REF04880022
TXN0893216173,ACC00000017,2024-06-20,2024-01-19,Debit,3327.0,USD,Txn-UAoNn,Withdrawal,Starbucks,ATM,Pending,55113.95,REF90795507
TXN8783864320,ACC00000018,2024-01-07,2024-04-18,Credit,1146.13,USD,Txn-mozbk,Utilities,None,POS,Success,63282.95,REF86406694
TXN7691531418,ACC00000019,2024-03-26,2024-05-05,Credit,348.11,USD,Txn-bbwqW,Utilities,Uber,POS,Success,68670.43,REF73701727
TXN8576644334,ACC00000020,2024-07-22,2024-04-09,Credit,3692.84,USD,Txn-NeEYN,Utilities,Uber,Mobile,Success,34673.71,REF22265595
TXN5274412764,ACC00000021,2024-11-09,2024-05-14,Debit,1561.94,USD,Txn-gsCvm,Withdrawal,Walmart,POS,Success,6067.77,REF87515642
TXN2651319794,ACC00000022,2024-11-07,2024-05-02,Debit,3212.56,USD,Txn-qMCOf,Transfer,Amazon,ATM,Pending,26360.08,REF19009353
TXN3797312642,ACC00000023,2024-11-06,2024-11-26,Credit,1088.65,USD,Txn-ShaZP,Transfer,Amazon,ATM,Pending,5946.36,REF35046400
TXN7157376510,ACC00000024,2024-05-16,2024-06-04,Debit,3749.89,USD,Txn-TbqlP,Transfer,None,ATM,Success,61016.13,REF90653125
TXN9303822203,ACC00000025,2024-11-30,2024-07-18,Credit,694.44,USD,Txn-QwcKR,Withdrawal,Amazon,Mobile,Success,74095.88,REF77054019
TXN0078606088,ACC00000026,2024-04-25,2024-01-14,Debit,3918.15,USD,Txn-otvEE,Shopping,Amazon,ATM,Success,25992.57,REF60835062
TXN6465472185,ACC00000027,2024-03-23,2024-01-12,Debit,2121.49,USD,Txn-OdbhK,Transfer,Uber,ATM,Pending,22164.11,REF09038182
TXN1984772364,ACC00000028,2024-02-24,2024-04-02,Credit,4815.72,USD,Txn-anhjh,Withdrawal,Starbucks,POS,Pending,74444.98,REF62416431
TXN0883380566,ACC00000029,2024-01-19,2024-08-22,Debit,1001.93,USD,Txn-pkevY,Transfer,Amazon,ATM,Failed,22302.16,REF31020525
TXN5096178666,ACC00000030,2024-09-26,2024-01-19,Credit,3539.91,USD,Txn-wVokc,Withdrawal,Walmart,ATM,Failed,61670.14,REF28676218
TXN8226983927,ACC00000031,2024-05-08,2024-02-19,Debit,4589.28,USD,Txn-jwHVn,Shopping,Uber,ATM,Failed,15938.47,REF19040025
