attendance_id,employee_id,attendance_date,check_in_time,check_out_time,status,hours_worked,created_at,updated_at
5001,1001,2024-02-01,2024-02-01 09:00:00,2024-02-01 18:00:00,Present,9.0,2024-02-01 18:00:00,2024-02-01 18:00:00
5002,1002,2024-02-01,2024-02-01 08:45:00,2024-02-01 17:30:00,Present,8.75,2024-02-01 17:30:00,2024-02-01 17:30:00
5003,1003,2024-02-01,2024-02-01 09:10:00,2024-02-01 18:15:00,Present,9.08,2024-02-01 18:15:00,2024-02-01 18:15:00
5004,1004,2024-02-01,2024-02-01 09:00:00,2024-02-01 17:45:00,Present,8.75,2024-02-01 17:45:00,2024-02-01 17:45:00
5005,1005,2024-02-01,2024-02-01 08:55:00,2024-02-01 18:00:00,Present,9.08,2024-02-01 18:00:00,2024-02-01 18:00:00
5006,1006,2024-02-01,2024-02-01 09:05:00,2024-02-01 18:10:00,Present,9.08,2024-02-01 18:10:00,2024-02-01 18:10:00
5007,1007,2024-02-01,2024-02-01 09:00:00,2024-02-01 18:00:00,Present,9.0,2024-02-01 18:00:00,2024-02-01 18:00:00
5008,1008,2024-02-01,2024-02-01 08:50:00,2024-02-01 17:50:00,Present,9.0,2024-02-01 17:50:00,2024-02-01 17:50:00
5009,1009,2024-02-01,2024-02-01 09:15:00,2024-02-01 18:05:00,Late,8.83,2024-02-01 18:05:00,2024-02-01 18:05:00
5010,1010,2024-02-01,2024-02-01 09:00:00,2024-02-01 18:00:00,Present,9.0,2024-02-01 18:00:00,2024-02-01 18:00:00
5011,1001,2024-02-02,2024-02-02 09:00:00,2024-02-02 18:00:00,Present,9.0,2024-02-02 18:00:00,2024-02-02 18:00:00
5012,1002,2024-02-02,2024-02-02 08:50:00,2024-02-02 17:40:00,Present,8.83,2024-02-02 17:40:00,2024-02-02 17:40:00
5013,1003,2024-02-02,2024-02-02 09:00:00,2024-02-02 18:00:00,Present,9.0,2024-02-02 18:00:00,2024-02-02 18:00:00
5014,1004,2024-02-02,2024-02-02 09:05:00,2024-02-02 17:50:00,Present,8.75,2024-02-02 17:50:00,2024-02-02 17:50:00
5015,1005,2024-02-02,2024-02-02 09:00:00,2024-02-02 18:00:00,Present,9.0,2024-02-02 18:00:00,2024-02-02 18:00:00
