appraisal_id,employee_id,department_id,reviewer_id,appraisal_cycle,appraisal_year,appraisal_quarter,self_rating,manager_rating,final_rating,rating_label,kpi_score,target_achievement_pct,increment_pct,bonus_amount,appraisal_status,review_period_start,review_period_end,self_submitted_at,manager_reviewed_at,hr_approved_at,created_at,updated_at
APR00001,EMP00001,DEPT001,EMP00002,Annual,2024,Q1,4.8,2.3,3.5,Outstanding,69.6,113.9,2.0,121436.91,Completed,2025-04-19,2025-10-16,2026-01-09 12:45:53,2026-01-12 12:45:53,2026-01-18 12:45:53,2025-08-10 12:45:53,2026-02-10 12:45:53
APR00002,EMP00002,DEPT002,EMP00003,Mid-Year,2025,H1,3.8,3.6,3.7,Exceeds Expectations,88.7,105.2,13.4,160447.23,Disputed,2025-06-23,2025-12-20,2025-11-29 12:45:53,2025-12-03 12:45:53,,2025-09-19 12:45:53,2026-02-07 12:45:53
APR00003,EMP00003,DEPT003,EMP00004,Quarterly,2025,Annual,1.3,1.8,1.6,Meets Expectations,62.3,116.2,12.9,54909.18,Disputed,2025-05-07,2025-11-03,2025-12-21 12:45:53,2025-12-30 12:45:53,,2025-10-05 12:45:53,2026-02-07 12:45:53
APR00004,EMP00004,DEPT004,EMP00005,Probation,2025,Q3,4.1,2.4,3.2,Below Expectations,71.2,92.8,5.0,102121.5,Disputed,2025-08-13,2026-02-09,2025-12-31 12:45:53,2026-01-06 12:45:53,,2025-03-28 12:45:53,2026-01-18 12:45:53
APR00005,EMP00005,DEPT005,EMP00006,Confirmation,2024,Annual,4.8,3.5,4.2,Unsatisfactory,74.8,100.8,8.6,26013.62,HR Review,2025-04-24,2025-10-21,2025-11-28 12:45:53,2025-12-10 12:45:53,,2025-10-07 12:45:53,2026-01-27 12:45:53
APR00006,EMP00006,DEPT006,EMP00007,Annual,2025,Q4,2.9,4.6,3.8,Outstanding,91.2,63.7,14.9,5903.35,HR Review,2025-06-05,2025-12-02,2025-12-06 12:45:53,2025-12-17 12:45:53,,2025-08-27 12:45:53,2026-01-20 12:45:53
APR00007,EMP00007,DEPT007,EMP00008,Mid-Year,2025,Q3,2.9,4.0,3.5,Exceeds Expectations,75.4,78.0,24.7,85508.96,Draft,2025-04-13,2025-10-10,2025-11-24 12:45:53,,,2025-04-22 12:45:53,2026-01-27 12:45:53
APR00008,EMP00008,DEPT008,EMP00009,Quarterly,2025,Annual,1.1,4.8,3.0,Meets Expectations,57.4,74.4,14.1,8869.11,Disputed,2025-05-07,2025-11-03,2025-12-11 12:45:53,2025-12-20 12:45:53,,2025-04-15 12:45:53,2026-02-07 12:45:53
APR00009,EMP00009,DEPT009,EMP00010,Probation,2024,H2,4.7,4.0,4.3,Below Expectations,59.5,108.6,16.3,50109.02,Manager Review,2025-05-25,2025-11-21,2026-01-09 12:45:53,2026-01-19 12:45:53,,2025-05-23 12:45:53,2026-02-06 12:45:53
APR00010,EMP00010,DEPT010,EMP00011,Confirmation,2025,Annual,2.2,2.0,2.1,Unsatisfactory,98.7,77.5,11.1,46215.91,HR Review,2025-03-22,2025-09-18,2025-11-23 12:45:53,2025-12-03 12:45:53,,2025-06-24 12:45:53,2026-02-03 12:45:53
