order_id,customer_id,order_amount,order_date
O1001,C001,481,2026-02-15
O1002,C001,399,2026-02-16
O1003,C002,366,2026-01-12
O1004,C003,440,2026-02-20
O1005,C004,773,2026-01-10
O1006,C005,644,2026-03-01
O1007,C006,542,2026-02-20
O1008,C007,368,2026-01-10
O1009,C008,696,2026-02-20
O1010,C009,730,2026-01-12
O1011,C010,498,2026-02-15
O1012,C011,468,2026-03-01
O1013,C012,313,2026-02-20
O1014,C013,537,2026-01-12
O1015,C014,773,2026-01-12
O1016,C015,768,2026-01-10
O1017,C016,341,2026-03-01
O1018,C017,695,2026-03-01
O1019,C018,624,2026-03-01
O1020,C019,236,2026-01-12
O1021,C020,710,2026-01-12
O1022,C001,460,2026-03-01
O1023,C002,742,2026-01-10
O1024,C003,413,2026-02-15
O1025,C004,403,2026-03-01
O1026,C005,626,2026-03-01
O1027,C006,306,2026-02-15
O1028,C007,316,2026-03-01
O1029,C008,566,2026-01-10
O1030,C009,228,2026-02-05
O1031,C010,512,2026-01-20
O1032,C011,375,2026-02-25
O1033,C012,690,2026-03-03
O1034,C013,458,2026-01-30
O1035,C014,320,2026-02-10
O1036,C015,499,2026-03-07
O1037,C016,601,2026-01-18
O1038,C017,402,2026-02-12
O1039,C018,550,2026-03-09
O1040,C019,614,2026-02-20
