event_id,employee_id,department_id,entity_type,entity_id,event_type,module,action_description,old_value,new_value,triggered_by,ip_address,device_type,channel,browser,session_id,severity,event_timestamp,login_timestamp,logout_timestamp,session_duration_seconds,processing_time_ms,is_success,failure_reason,created_at
HREVT000001,EMP00001,DEPT001,Employee,EMP00001,EMPLOYEE_LOGIN,Auth,Employee Login action on Employee EMP00001 by EMP00001,status=ACTIVE,stage=JOINED,EMP00004,223.132.107.218,Web Browser,HRMS Web,Chrome 120,SES4224989938,INFO,2026-01-08 12:45:53,2026-01-08 12:45:53,,25880,749,TRUE,,2026-01-08 12:45:53
HREVT000002,EMP00002,DEPT002,Department,DEPT002,EMPLOYEE_LOGOUT,EmployeeManagement,Employee Logout action on Department DEPT002 by EMP00002,salary=50000,rating=4.5,EMP00005,187.29.123.212,Mobile App,Mobile HRMS,Firefox 121,SES8674036653,INFO,2025-12-21 12:45:53,2025-12-21 12:45:53,2025-12-21 20:21:53,8675,1491,TRUE,,2025-12-21 12:45:53
HREVT000003,EMP00003,DEPT003,Payroll,PAY000003,PASSWORD_CHANGED,LeaveManagement,Password Changed action on Payroll PAY000003 by EMP00003,salary=50000,stage=JOINED,EMP00006,142.190.137.20,HR Portal,API Integration,Safari 17,SES2904979707,INFO,2025-09-14 12:45:53,2025-09-14 12:45:53,2025-09-14 16:42:53,21835,5893,TRUE,,2025-09-14 12:45:53
HREVT000004,EMP00004,DEPT004,Leave,LVE000004,PASSWORD_RESET_REQUESTED,PayrollEngine,Password Reset Requested action on Leave LVE000004 by EMP00004,salary=50000,status=APPROVED,EMP00007,74.168.213.216,HRMS System,Admin Panel,Edge 120,SES7687524713,INFO,2025-08-20 12:45:53,2025-08-20 12:45:53,2025-08-20 20:40:53,27362,3755,TRUE,,2025-08-20 12:45:53
HREVT000005,EMP00005,DEPT005,Training,TRN00005,EMPLOYEE_ONBOARDED,TrainingManagement,Employee Onboarded action on Training TRN00005 by EMP00005,status=ACTIVE,status=APPROVED,EMP00008,104.209.40.136,API,Self-Service Portal,Mobile Safari,SES5149266173,WARNING,2025-12-18 12:45:53,2025-12-18 12:45:53,2025-12-18 13:15:53,21193,5450,TRUE,,2025-12-18 12:45:53
HREVT000006,EMP00006,DEPT006,Appraisal,APR00006,EMPLOYEE_CONFIRMED,AppraisalSystem,Employee Confirmed action on Appraisal APR00006 by EMP00006,salary=50000,salary=60000,EMP00009,160.110.105.94,Biometric Terminal,Manager Portal,Chrome Mobile,SES6736344312,ERROR,2026-01-29 12:45:53,2026-01-29 12:45:53,2026-01-29 20:28:53,27395,4732,TRUE,,2026-01-29 12:45:53
HREVT000007,EMP00007,DEPT007,Recruitment,REC00007,EMPLOYEE_TRANSFERRED,RecruitmentPortal,Employee Transferred action on Recruitment REC00007 by EMP00007,salary=50000,stage=JOINED,EMP00010,118.179.20.154,Web Browser,HRMS Web,Chrome 120,SES6573392859,CRITICAL,2026-01-22 12:45:53,2026-01-22 12:45:53,2026-01-22 17:44:53,11287,5153,TRUE,,2026-01-22 12:45:53
HREVT000008,EMP00008,DEPT008,Attendance,ATT0000008,EMPLOYEE_PROMOTED,AttendanceSystem,Employee Promoted action on Attendance ATT0000008 by EMP00008,status=ACTIVE,status=APPROVED,EMP00011,148.201.91.169,Mobile App,Mobile HRMS,Firefox 121,SES5486240052,DEBUG,2025-10-04 12:45:53,2025-10-04 12:45:53,2025-10-04 16:48:53,14445,606,TRUE,,2025-10-04 12:45:53
HREVT000009,EMP00009,DEPT009,Job,JOB0009,EMPLOYEE_RESIGNED,PolicyManagement,Employee Resigned action on Job JOB0009 by EMP00009,stage=APPLIED,stage=JOINED,EMP00012,182.90.121.103,HR Portal,API Integration,Safari 17,SES2792445246,INFO,2025-11-05 12:45:53,2025-11-05 12:45:53,2025-11-05 13:23:53,7463,3676,TRUE,,2025-11-05 12:45:53
HREVT000010,EMP00010,DEPT010,Employee,EMP00010,EMPLOYEE_TERMINATED,HRDashboard,Employee Terminated action on Employee EMP00010 by EMP00010,,EMPLOYEE_TERMINATED,EMP00013,38.23.173.189,HRMS System,Admin Panel,Edge 120,SES7208795565,INFO,2025-10-25 12:45:53,2025-10-25 12:45:53,2025-10-25 14:43:53,754,4371,TRUE,,2025-10-25 12:45:53
HREVT000011,EMP00011,DEPT011,Department,DEPT011,LEAVE_APPLIED,Auth,Leave Applied action on Department DEPT011 by EMP00011,status=ACTIVE,salary=60000,EMP00014,150.74.178.222,API,Self-Service Portal,Mobile Safari,SES6280830733,INFO,2026-01-01 12:45:53,2026-01-01 12:45:53,2026-01-01 15:53:53,28386,4356,TRUE,,2026-01-01 12:45:53
HREVT000012,EMP00012,DEPT012,Payroll,PAY000012,LEAVE_APPROVED,EmployeeManagement,Leave Approved action on Payroll PAY000012 by EMP00012,rating=3.5,stage=JOINED,EMP00015,174.128.90.74,Biometric Terminal,Manager Portal,Chrome Mobile,SES6736349153,INFO,2025-10-19 12:45:53,2025-10-19 12:45:53,2025-10-19 18:59:53,6123,7927,TRUE,,2025-10-19 12:45:53
HREVT000013,EMP00013,DEPT013,Leave,LVE000013,LEAVE_REJECTED,LeaveManagement,Leave Rejected action on Leave LVE000013 by EMP00013,,status=APPROVED,EMP00016,207.8.147.224,Web Browser,HRMS Web,Chrome 120,SES6810498714,WARNING,2025-11-21 12:45:53,2025-11-21 12:45:53,2025-11-21 14:53:53,25694,6902,FALSE,Access Denied,2025-11-21 12:45:53
