claim_id,policy_id,event_type,claim_status,event_timestamp
7001,6001,CLAIM_RAISED,PENDING,2026-02-15 07:19:58.408708
7002,6002,CLAIM_APPROVED,APPROVED,2026-02-15 07:09:58.408708
7003,6003,CLAIM_REJECTED,REJECTED,2026-02-15 06:59:58.408708
7004,6004,CLAIM_SETTLED,SETTLED,2026-02-15 06:49:58.408708
7005,6005,CLAIM_RAISED,PENDING,2026-02-15 06:39:58.408708
7006,6006,CLAIM_APPROVED,APPROVED,2026-02-15 06:29:58.408708
7007,6007,CLAIM_SETTLED,SETTLED,2026-02-15 06:19:58.408708
7008,6008,CLAIM_REJECTED,REJECTED,2026-02-15 06:09:58.408708
7009,6009,CLAIM_RAISED,PENDING,2026-02-15 05:59:58.408708
7010,6010,CLAIM_APPROVED,APPROVED,2026-02-15 05:49:58.408708
