trade_id,account_id,portfolio_id,instrument_id,client_id,trade_type,order_type,quantity,price,trade_value,brokerage,stt,gst_on_brokerage,net_value,trade_status,order_placed_at,trade_executed_at,settlement_date,created_at,updated_at
TRD0000001,ACC000001,PRT00001,INS00001,CLI00001,Buy,Market,921,895.66,824902.86,247.47,824.9,44.54,826019.77,Cancelled,2025-08-04 11:54:43,2025-08-04 12:14:43,2025-08-06,2025-02-17 11:54:43,2026-01-24 11:54:43
TRD0000002,ACC000002,PRT00002,INS00002,CLI00002,Sell,Limit,129,2878.67,371348.43,111.4,371.35,20.05,371851.23,Cancelled,2025-08-31 11:54:43,2025-08-31 12:02:43,2025-09-02,2025-06-27 11:54:43,2026-02-08 11:54:43
TRD0000003,ACC000003,PRT00003,INS00003,CLI00003,Short,Stop Loss,498,2876.69,1432591.62,429.78,1432.59,77.36,1434531.35,Partially Filled,2025-09-03 11:54:43,2025-09-03 12:24:43,2025-09-05,2026-02-01 11:54:43,2026-02-10 11:54:43
TRD0000004,ACC000004,PRT00004,INS00004,CLI00004,Cover,Stop Limit,796,3134.95,2495420.2,748.63,2495.42,134.75,2498799.0,Pending,2025-05-21 11:54:43,2025-05-21 12:07:43,2025-05-23,2025-04-14 11:54:43,2026-02-06 11:54:43
TRD0000005,ACC000005,PRT00005,INS00005,CLI00005,Switch,AMO,953,2144.99,2044175.47,613.25,2044.18,110.38,2046943.28,Partially Filled,2025-03-24 11:54:43,2025-03-24 12:11:43,2025-03-26,2025-12-30 11:54:43,2026-01-29 11:54:43
TRD0000006,ACC000006,PRT00006,INS00006,CLI00006,Redemption,Bracket,168,84.58,14209.44,4.26,14.21,0.77,14228.68,Cancelled,2025-12-09 11:54:43,2025-12-09 11:55:43,2025-12-11,2025-10-18 11:54:43,2026-01-20 11:54:43
TRD0000007,ACC000007,PRT00007,INS00007,CLI00007,SIP,Cover Order,879,2339.41,2056341.39,616.9,2056.34,111.04,2059125.67,Cancelled,2025-07-10 11:54:43,2025-07-10 12:07:43,2025-07-12,2025-11-20 11:54:43,2026-01-25 11:54:43
TRD0000008,ACC000008,PRT00008,INS00008,CLI00008,SWP,IOC,374,4506.73,1685517.02,505.66,1685.52,91.02,1687799.22,Modified,2025-11-29 11:54:43,2025-11-29 12:09:43,2025-12-01,2025-06-27 11:54:43,2026-01-18 11:54:43
TRD0000009,ACC000009,PRT00009,INS00009,CLI00009,Dividend Reinvest,GTC,411,36.85,15145.35,4.54,15.15,0.82,15165.86,Executed,2025-04-18 11:54:43,2025-04-18 12:05:43,2025-04-20,2025-04-22 11:54:43,2026-01-24 11:54:43
TRD0000010,ACC000010,PRT00010,INS00010,CLI00010,Rights Issue,CNC,949,3994.25,3790543.25,1137.16,3790.54,204.69,3795675.64,Modified,2025-06-14 11:54:43,2025-06-14 12:12:43,2025-06-16,2025-09-16 11:54:43,2026-01-20 11:54:43
TRD0000011,ACC000011,PRT00011,INS00011,CLI00011,Buy,Market,265,2550.65,675922.25,202.78,675.92,36.5,676837.45,Modified,2025-10-15 11:54:43,2025-10-15 12:10:43,2025-10-17,2025-07-09 11:54:43,2026-01-18 11:54:43
TRD0000012,ACC000012,PRT00012,INS00012,CLI00012,Sell,Limit,70,286.66,20066.2,6.02,20.07,1.08,20093.37,Pending,2025-07-15 11:54:43,2025-07-15 12:20:43,2025-07-17,2025-02-24 11:54:43,2026-02-10 11:54:43
TRD0000013,ACC000013,PRT00013,INS00013,CLI00013,Short,Stop Loss,809,3761.52,3043069.68,912.92,3043.07,164.33,3047190.0,Executed,2025-07-08 11:54:43,2025-07-08 12:22:43,2025-07-10,2025-10-14 11:54:43,2026-02-09 11:54:43
TRD0000014,ACC000014,PRT00014,INS00014,CLI00014,Cover,Stop Limit,49,4975.03,243776.47,73.13,243.78,13.16,244106.54,Executed,2025-06-24 11:54:43,2025-06-24 12:00:43,2025-06-26,2025-07-14 11:54:43,2026-01-27 11:54:43
TRD0000015,ACC000015,PRT00015,INS00015,CLI00015,Switch,AMO,82,2093.62,171676.84,51.5,171.68,9.27,171909.29,Partially Filled,2025-11-11 11:54:43,2025-11-11 12:16:43,2025-11-13,2025-09-24 11:54:43,2026-01-21 11:54:43
TRD0000016,ACC000016,PRT00016,INS00016,CLI00016,Redemption,Bracket,357,620.9,221661.3,66.5,221.66,11.97,221961.43,Rejected,2025-08-15 11:54:43,2025-08-15 12:21:43,2025-08-17,2025-05-21 11:54:43,2026-02-09 11:54:43
TRD0000017,ACC000017,PRT00017,INS00017,CLI00017,SIP,Cover Order,621,4710.98,2925518.58,877.66,2925.52,157.98,2929479.74,Cancelled,2025-09-01 11:54:43,2025-09-01 12:18:43,2025-09-03,2026-02-01 11:54:43,2026-01-31 11:54:43
TRD0000018,ACC000018,PRT00018,INS00018,CLI00018,SWP,IOC,607,3436.4,2085894.8,625.77,2085.89,112.64,2088719.1,Cancelled,2025-06-06 11:54:43,2025-06-06 11:57:43,2025-06-08,2025-07-13 11:54:43,2026-02-11 11:54:43
TRD0000019,ACC000019,PRT00019,INS00019,CLI00019,Dividend Reinvest,GTC,882,3447.61,3040792.02,912.24,3040.79,164.2,3044909.25,Cancelled,2025-09-14 11:54:43,2025-09-14 12:11:43,2025-09-16,2025-05-06 11:54:43,2026-01-28 11:54:43
TRD0000020,ACC000020,PRT00020,INS00020,CLI00020,Rights Issue,CNC,692,539.81,373548.52,112.06,373.55,20.17,374054.3,Executed,2025-02-17 11:54:43,2025-02-17 12:05:43,2025-02-19,2025-10-15 11:54:43,2026-02-13 11:54:43
