POL_ID,CUST_ID,AGNT_ID,LOB_CD,EFF_DT,EXP_DT,POL_STAT_CD,TOT_PREM_AMT,PAY_FREQ
P9000101,1000001,A001,HOME,20230115,20240115,A,1200.00,A
P9000102,1000001,A001,AUTO,20230115,20230715,A,0650.00,S
P9000103,1000002,A004,LIFE,19900601,20300601,A,0150.00,M
P9000104,1000003,A006,AUTO,20230310,20230910,L,0500.00,S
P9000105,1000004,A001,HOME,20220922,20230922,R,0950.00,A
P9000106,1000005,A002,RENTR,20231115,20241115,A,0200.00,A
P9000107,1000006,A003,AUTO,20230201,20230801,A,1100.00,M
P9000108,1000007,A004,COMM,20230101,20240101,A,5000.00,Q
P9000109,1000008,A008,HOME,20231220,20241220,A,1800.00,A
P9000110,1000009,A005,AUTO,20230101,20230701,C,0600.00,S
P9000111,1000010,A001,LIFE,19850415,20150415,M,0100.00,M
P9000112,1000011,A002,AUTO,20230505,20231105,A,2200.00,M
P9000113,1000012,A003,HOME,20231031,20241031,A,1350.00,A
P9000114,1000013,A007,LIFE,20120615,20420615,A,0300.00,Q
P9000115,1000014,A001,RENTR,20230320,20240320,A,0180.00,A
P9000116,1000015,A006,AUTO,20230901,20240301,A,0800.00,S
P9000117,1000007,A004,WC,20230704,20240704,A,2500.00,Q
