case_id,customer_id,loan_id,event_name,event_time,loan_amount
L001,C101,L1001,Loan_Applied,2026-02-01 09:30:00,50000
L001,C101,L1001,Loan_Approved,2026-02-01 10:00:00,50000
L001,C101,L1001,Loan_Disbursed,2026-02-01 10:05:00,50000

L002,C102,L1002,Loan_Applied,2026-02-02 11:20:00,100000
L002,C102,L1002,Loan_Approved,2026-02-02 11:30:00,100000
L002,C102,L1002,Loan_Disbursed,2026-02-02 11:35:00,100000

L003,C104,L1003,Loan_Applied,2026-02-03 09:10:00,75000
L003,C104,L1003,Loan_Approved,2026-02-03 09:15:00,75000
L003,C104,L1003,Loan_Disbursed,2026-02-03 09:20:00,75000
